日期,全部,pc,移动
2019-12-01,84,,84
2019-12-02,79,,79
2019-12-03,137,59,78
2019-12-04,79,,79
2019-12-05,71,,71
2019-12-06,74,,74
2019-12-07,69,,69
2019-12-08,141,57,84
2019-12-09,132,59,73
2019-12-10,132,61,71
2019-12-11,148,64,84
2019-12-12,129,59,70
2019-12-13,71,,71
2019-12-14,124,57,67
2019-12-15,73,,73
2019-12-16,134,61,73
2019-12-17,129,59,70
2019-12-18,128,59,69
2019-12-19,78,,78
2019-12-20,131,61,70
2019-12-21,135,59,76
2019-12-22,136,63,73
2019-12-23,128,57,71
2019-12-24,67,,67
2019-12-25,135,57,78
2019-12-26,124,57,67
2019-12-27,128,59,69
2019-12-28,67,,67
2019-12-29,80,,80
2019-12-30,67,,67
2019-12-31,76,,76
2020-01-01,73,,73
2020-01-02,67,,67
2020-01-03,124,59,65
2020-01-04,76,,76
2020-01-05,135,57,78
2020-01-06,126,59,67
2020-01-07,132,63,69
2020-01-08,120,57,63
2020-01-09,128,59,69
2020-01-10,134,61,73
2020-01-11,65,,65
2020-01-12,67,,67
2020-01-13,127,57,70
2020-01-14,69,,69
2020-01-15,65,,65
2020-01-16,61,,61
2020-01-17,127,57,70
2020-01-18,65,,65
2020-01-19,132,59,73
2020-01-20,350,97,253
2020-01-21,1228,288,940
2020-01-22,2124,364,1760
2020-01-23,3447,566,2881
2020-01-24,2215,434,1781
2020-01-25,2678,391,2287
2020-01-26,2828,419,2409
2020-01-27,2433,416,2017
2020-01-28,2095,375,1720
2020-01-29,1895,385,1510
2020-01-30,2056,451,1605
2020-01-31,2003,409,1594
2020-02-01,2000,405,1595
2020-02-02,2032,448,1584
2020-02-03,1900,457,1443
2020-02-04,1749,430,1319
2020-02-05,1798,417,1381
2020-02-06,1801,434,1367
2020-02-07,1761,385,1376
2020-02-08,1676,367,1309
2020-02-09,1568,380,1188
2020-02-10,1604,414,1190
2020-02-11,1380,340,1040
2020-02-12,1335,295,1040
2020-02-13,1400,321,1079
2020-02-14,1342,264,1078
2020-02-15,1234,251,983
2020-02-16,1245,282,963
2020-02-17,1199,245,954
2020-02-18,1204,278,926
2020-02-19,1243,295,948
2020-02-20,1225,285,940
2020-02-21,1190,240,950
2020-02-22,1096,176,920
2020-02-23,1115,177,938
2020-02-24,1206,262,944
2020-02-25,1255,307,948
2020-02-26,1230,256,974
2020-02-27,1221,296,925
2020-02-28,1216,285,931
2020-02-29,1140,222,918
2020-03-01,1077,201,876
2020-03-02,1153,257,896
2020-03-03,1063,190,873
2020-03-04,1091,239,852
2020-03-05,1051,209,842
2020-03-06,931,179,752
2020-03-07,827,131,696
2020-03-08,802,158,644
2020-03-09,914,202,712
2020-03-10,858,182,676
2020-03-11,879,190,689
2020-03-12,734,152,582
2020-03-13,786,188,598
2020-03-14,758,155,603
2020-03-15,679,161,518
2020-03-16,751,186,565
2020-03-17,729,173,556
2020-03-18,718,172,546
2020-03-19,688,163,525
2020-03-20,582,139,443
2020-03-21,499,116,383
2020-03-22,476,68,408
2020-03-23,495,116,379
2020-03-24,478,120,358
2020-03-25,527,133,394
2020-03-26,481,139,342
2020-03-27,448,104,344
2020-03-28,415,80,335
2020-03-29,451,118,333
2020-03-30,482,148,334
2020-03-31,427,104,323
2020-04-01,441,106,335
