日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,58,,58
2019-12-03,,,
2019-12-04,57,57,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,57,,57
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,57,,57
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,61,,61
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,66,,66
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,60,,60
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,57,,57
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,58,,58
2020-01-21,110,,110
2020-01-22,260,61,199
2020-01-23,380,68,312
2020-01-24,276,61,215
2020-01-25,304,61,243
2020-01-26,360,66,294
2020-01-27,283,64,219
2020-01-28,292,64,228
2020-01-29,273,61,212
2020-01-30,270,70,200
2020-01-31,274,66,208
2020-02-01,272,70,202
2020-02-02,241,70,171
2020-02-03,253,61,192
2020-02-04,237,64,173
2020-02-05,244,64,180
2020-02-06,234,70,164
2020-02-07,216,57,159
2020-02-08,251,66,185
2020-02-09,208,64,144
2020-02-10,221,63,158
2020-02-11,205,61,144
2020-02-12,208,59,149
2020-02-13,189,63,126
2020-02-14,196,61,135
2020-02-15,171,61,110
2020-02-16,169,61,108
2020-02-17,181,59,122
2020-02-18,183,64,119
2020-02-19,167,57,110
2020-02-20,165,57,108
2020-02-21,179,61,118
2020-02-22,197,63,134
2020-02-23,184,59,125
2020-02-24,175,57,118
2020-02-25,184,59,125
2020-02-26,121,,121
2020-02-27,197,59,138
2020-02-28,195,64,131
2020-02-29,110,,110
2020-03-01,173,61,112
2020-03-02,188,57,131
2020-03-03,171,59,112
2020-03-04,166,61,105
2020-03-05,170,57,113
2020-03-06,167,57,110
2020-03-07,152,57,95
2020-03-08,143,57,86
2020-03-09,149,63,86
2020-03-10,158,59,99
2020-03-11,154,57,97
2020-03-12,140,57,83
2020-03-13,150,63,87
2020-03-14,140,57,83
2020-03-15,84,,84
2020-03-16,137,59,78
2020-03-17,80,,80
2020-03-18,144,64,80
2020-03-19,139,57,82
2020-03-20,132,61,71
2020-03-21,122,57,65
2020-03-22,65,,65
2020-03-23,125,59,66
2020-03-24,69,,69
2020-03-25,123,57,66
2020-03-26,126,57,69
2020-03-27,70,,70
2020-03-28,76,,76
2020-03-29,66,,66
2020-03-30,120,59,61
2020-03-31,74,,74
2020-04-01,128,57,71
