日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,57,57,
2019-12-08,57,,57
2019-12-09,119,61,58
2019-12-10,,,
2019-12-11,58,,58
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,114,57,57
2019-12-15,57,,57
2019-12-16,,,
2019-12-17,114,57,57
2019-12-18,,,
2019-12-19,60,,60
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,57,57,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,114,57,57
2020-01-03,,,
2020-01-04,57,57,
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,61,,61
2020-01-09,,,
2020-01-10,58,,58
2020-01-11,58,,58
2020-01-12,,,
2020-01-13,,,
2020-01-14,57,,57
2020-01-15,57,57,
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,57,,57
2020-01-19,61,,61
2020-01-20,61,,61
2020-01-21,216,80,136
2020-01-22,353,104,249
2020-01-23,594,157,437
2020-01-24,404,104,300
2020-01-25,395,74,321
2020-01-26,415,116,299
2020-01-27,393,108,285
2020-01-28,342,97,245
2020-01-29,355,108,247
2020-01-30,308,97,211
2020-01-31,362,106,256
2020-02-01,369,114,255
2020-02-02,366,116,250
2020-02-03,325,93,232
2020-02-04,311,116,195
2020-02-05,329,121,208
2020-02-06,369,121,248
2020-02-07,336,112,224
2020-02-08,318,80,238
2020-02-09,314,116,198
2020-02-10,297,108,189
2020-02-11,271,97,174
2020-02-12,264,74,190
2020-02-13,268,97,171
2020-02-14,254,91,163
2020-02-15,263,83,180
2020-02-16,242,80,162
2020-02-17,255,72,183
2020-02-18,236,95,141
2020-02-19,220,76,144
2020-02-20,210,85,125
2020-02-21,223,72,151
2020-02-22,220,85,135
2020-02-23,217,66,151
2020-02-24,211,76,135
2020-02-25,244,97,147
2020-02-26,276,110,166
2020-02-27,267,112,155
2020-02-28,256,93,163
2020-02-29,233,97,136
2020-03-01,242,101,141
2020-03-02,226,91,135
2020-03-03,215,80,135
2020-03-04,229,85,144
2020-03-05,225,104,121
2020-03-06,221,99,122
2020-03-07,209,74,135
2020-03-08,206,89,117
2020-03-09,175,80,95
2020-03-10,185,101,84
2020-03-11,186,80,106
2020-03-12,188,95,93
2020-03-13,186,91,95
2020-03-14,193,80,113
2020-03-15,188,91,97
2020-03-16,174,74,100
2020-03-17,200,104,96
2020-03-18,190,97,93
2020-03-19,171,78,93
2020-03-20,173,78,95
2020-03-21,168,72,96
2020-03-22,152,59,93
2020-03-23,184,85,99
2020-03-24,154,63,91
2020-03-25,165,83,82
2020-03-26,167,74,93
2020-03-27,167,74,93
2020-03-28,159,70,89
2020-03-29,154,63,91
2020-03-30,163,72,91
2020-03-31,167,78,89
2020-04-01,155,63,92
