日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,57,
2020-01-21,79,,79
2020-01-22,169,61,108
2020-01-23,219,72,147
2020-01-24,180,57,123
2020-01-25,183,61,122
2020-01-26,220,59,161
2020-01-27,209,66,143
2020-01-28,214,70,144
2020-01-29,185,64,121
2020-01-30,207,68,139
2020-01-31,204,72,132
2020-02-01,198,64,134
2020-02-02,205,70,135
2020-02-03,214,78,136
2020-02-04,174,66,108
2020-02-05,160,63,97
2020-02-06,172,64,108
2020-02-07,155,59,96
2020-02-08,148,57,91
2020-02-09,155,59,96
2020-02-10,141,63,78
2020-02-11,148,64,84
2020-02-12,150,61,89
2020-02-13,140,61,79
2020-02-14,181,59,122
2020-02-15,156,59,97
2020-02-16,139,57,82
2020-02-17,139,57,82
2020-02-18,153,61,92
2020-02-19,147,63,84
2020-02-20,141,63,78
2020-02-21,163,59,104
2020-02-22,145,63,82
2020-02-23,96,,96
2020-02-24,78,,78
2020-02-25,142,63,79
2020-02-26,143,57,86
2020-02-27,154,63,91
2020-02-28,147,64,83
2020-02-29,148,59,89
2020-03-01,135,64,71
2020-03-02,135,59,76
2020-03-03,137,57,80
2020-03-04,130,57,73
2020-03-05,66,,66
2020-03-06,124,59,65
2020-03-07,71,,71
2020-03-08,65,,65
2020-03-09,73,,73
2020-03-10,124,59,65
2020-03-11,135,59,76
2020-03-12,122,57,65
2020-03-13,63,,63
2020-03-14,128,57,71
2020-03-15,133,59,74
2020-03-16,79,,79
2020-03-17,132,63,69
2020-03-18,130,57,73
2020-03-19,122,57,65
2020-03-20,123,57,66
2020-03-21,65,,65
2020-03-22,130,57,73
2020-03-23,121,61,60
2020-03-24,65,,65
2020-03-25,126,57,69
2020-03-26,69,,69
2020-03-27,69,,69
2020-03-28,65,,65
2020-03-29,67,,67
2020-03-30,58,,58
2020-03-31,117,57,60
2020-04-01,123,57,66
