日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,57,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,61,,61
2020-01-21,148,64,84
2020-01-22,219,64,155
2020-01-23,287,66,221
2020-01-24,196,68,128
2020-01-25,167,61,106
2020-01-26,157,61,96
2020-01-27,152,59,93
2020-01-28,141,63,78
2020-01-29,71,,71
2020-01-30,126,57,69
2020-01-31,80,,80
2020-02-01,76,,76
2020-02-02,128,57,71
2020-02-03,141,59,82
2020-02-04,126,57,69
2020-02-05,142,64,78
2020-02-06,129,59,70
2020-02-07,135,57,78
2020-02-08,131,64,67
2020-02-09,139,59,80
2020-02-10,136,63,73
2020-02-11,130,63,67
2020-02-12,129,59,70
2020-02-13,136,63,73
2020-02-14,143,57,86
2020-02-15,124,57,67
2020-02-16,128,57,71
2020-02-17,126,63,63
2020-02-18,128,57,71
2020-02-19,130,57,73
2020-02-20,60,,60
2020-02-21,125,59,66
2020-02-22,131,64,67
2020-02-23,63,,63
2020-02-24,132,59,73
2020-02-25,124,59,65
2020-02-26,139,66,73
2020-02-27,132,61,71
2020-02-28,121,61,60
2020-02-29,126,63,63
2020-03-01,129,59,70
2020-03-02,140,61,79
2020-03-03,135,57,78
2020-03-04,124,61,63
2020-03-05,127,64,63
2020-03-06,120,59,61
2020-03-07,137,59,78
2020-03-08,124,61,63
2020-03-09,126,59,67
2020-03-10,60,,60
2020-03-11,128,63,65
2020-03-12,124,57,67
2020-03-13,127,57,70
2020-03-14,69,,69
2020-03-15,127,57,70
2020-03-16,132,59,73
2020-03-17,126,57,69
2020-03-18,70,,70
2020-03-19,122,61,61
2020-03-20,57,,57
2020-03-21,120,57,63
2020-03-22,71,,71
2020-03-23,61,,61
2020-03-24,118,57,61
2020-03-25,126,61,65
2020-03-26,117,57,60
2020-03-27,117,57,60
2020-03-28,63,,63
2020-03-29,124,63,61
2020-03-30,120,59,61
2020-03-31,67,,67
2020-04-01,134,61,73
