日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,57,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,57,,57
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,57,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,57,
2020-01-19,,,
2020-01-20,58,,58
2020-01-21,157,61,96
2020-01-22,215,61,154
2020-01-23,264,72,192
2020-01-24,231,68,163
2020-01-25,227,64,163
2020-01-26,212,63,149
2020-01-27,196,70,126
2020-01-28,180,63,117
2020-01-29,185,64,121
2020-01-30,170,66,104
2020-01-31,159,63,96
2020-02-01,159,59,100
2020-02-02,157,57,100
2020-02-03,148,57,91
2020-02-04,138,64,74
2020-02-05,163,66,97
2020-02-06,165,61,104
2020-02-07,154,61,93
2020-02-08,172,66,106
2020-02-09,160,61,99
2020-02-10,165,61,104
2020-02-11,155,66,89
2020-02-12,84,,84
2020-02-13,149,57,92
2020-02-14,157,64,93
2020-02-15,175,63,112
2020-02-16,162,63,99
2020-02-17,166,70,96
2020-02-18,145,63,82
2020-02-19,151,59,92
2020-02-20,151,64,87
2020-02-21,173,64,109
2020-02-22,167,59,108
2020-02-23,168,59,109
2020-02-24,177,59,118
2020-02-25,222,63,159
2020-02-26,235,61,174
2020-02-27,219,74,145
2020-02-28,191,63,128
2020-02-29,200,61,139
2020-03-01,163,66,97
2020-03-02,160,64,96
2020-03-03,156,59,97
2020-03-04,152,57,95
2020-03-05,157,57,100
2020-03-06,145,59,86
2020-03-07,144,61,83
2020-03-08,162,57,105
2020-03-09,141,61,80
2020-03-10,137,63,74
2020-03-11,137,66,71
2020-03-12,130,63,67
2020-03-13,127,57,70
2020-03-14,73,,73
2020-03-15,126,57,69
2020-03-16,126,61,65
2020-03-17,126,63,63
2020-03-18,128,59,69
2020-03-19,124,57,67
2020-03-20,122,57,65
2020-03-21,63,,63
2020-03-22,58,,58
2020-03-23,66,,66
2020-03-24,63,,63
2020-03-25,123,57,66
2020-03-26,114,57,57
2020-03-27,58,,58
2020-03-28,71,,71
2020-03-29,131,57,74
2020-03-30,117,57,60
2020-03-31,119,59,60
2020-04-01,70,,70
