日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,57,,57
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,57,57,
2020-01-21,146,66,80
2020-01-22,193,72,121
2020-01-23,237,76,161
2020-01-24,183,78,105
2020-01-25,217,76,141
2020-01-26,198,70,128
2020-01-27,170,66,104
2020-01-28,179,74,105
2020-01-29,158,66,92
2020-01-30,158,61,97
2020-01-31,168,64,104
2020-02-01,172,66,106
2020-02-02,183,70,113
2020-02-03,160,68,92
2020-02-04,165,72,93
2020-02-05,161,66,95
2020-02-06,172,76,96
2020-02-07,165,59,106
2020-02-08,182,78,104
2020-02-09,157,70,87
2020-02-10,155,66,89
2020-02-11,163,66,97
2020-02-12,148,66,82
2020-02-13,149,70,79
2020-02-14,159,64,95
2020-02-15,126,59,67
2020-02-16,133,63,70
2020-02-17,138,59,79
2020-02-18,147,76,71
2020-02-19,133,66,67
2020-02-20,128,61,67
2020-02-21,130,59,71
2020-02-22,124,57,67
2020-02-23,135,59,76
2020-02-24,127,57,70
2020-02-25,136,66,70
2020-02-26,130,57,73
2020-02-27,134,68,66
2020-02-28,130,63,67
2020-02-29,139,63,76
2020-03-01,132,59,73
2020-03-02,137,66,71
2020-03-03,120,57,63
2020-03-04,120,63,57
2020-03-05,124,59,65
2020-03-06,116,59,57
2020-03-07,,,
2020-03-08,115,57,58
2020-03-09,128,59,69
2020-03-10,129,64,65
2020-03-11,123,57,66
2020-03-12,61,,61
2020-03-13,61,,61
2020-03-14,127,61,66
2020-03-15,118,57,61
2020-03-16,130,64,66
2020-03-17,126,59,67
2020-03-18,126,59,67
2020-03-19,117,59,58
2020-03-20,65,,65
2020-03-21,116,59,57
2020-03-22,61,,61
2020-03-23,116,59,57
2020-03-24,63,,63
2020-03-25,,,
2020-03-26,61,,61
2020-03-27,115,57,58
2020-03-28,60,,60
2020-03-29,114,57,57
2020-03-30,118,57,61
2020-03-31,114,57,57
2020-04-01,122,57,65
