日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,58,,58
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,57,57,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,58,,58
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,153,61,92
2020-01-22,242,72,170
2020-01-23,403,82,321
2020-01-24,216,61,155
2020-01-25,295,64,231
2020-01-26,367,82,285
2020-01-27,273,70,203
2020-01-28,281,82,199
2020-01-29,155,,155
2020-01-30,234,80,154
2020-01-31,218,63,155
2020-02-01,209,64,145
2020-02-02,189,61,128
2020-02-03,233,78,155
2020-02-04,192,70,122
2020-02-05,211,66,145
2020-02-06,223,61,162
2020-02-07,220,76,144
2020-02-08,213,68,145
2020-02-09,199,68,131
2020-02-10,198,64,134
2020-02-11,169,61,108
2020-02-12,185,66,119
2020-02-13,192,70,122
2020-02-14,170,61,109
2020-02-15,185,64,121
2020-02-16,165,63,102
2020-02-17,178,61,117
2020-02-18,160,63,97
2020-02-19,156,63,93
2020-02-20,161,59,102
2020-02-21,180,63,117
2020-02-22,153,61,92
2020-02-23,147,63,84
2020-02-24,139,59,80
2020-02-25,150,61,89
2020-02-26,165,66,99
2020-02-27,89,,89
2020-02-28,86,,86
2020-02-29,163,59,104
2020-03-01,150,59,91
2020-03-02,155,63,92
2020-03-03,102,,102
2020-03-04,167,68,99
2020-03-05,156,59,97
2020-03-06,147,61,86
2020-03-07,161,70,91
2020-03-08,82,,82
2020-03-09,143,63,80
2020-03-10,154,59,95
2020-03-11,148,61,87
2020-03-12,141,61,80
2020-03-13,82,,82
2020-03-14,82,,82
2020-03-15,130,57,73
2020-03-16,129,59,70
2020-03-17,123,57,66
2020-03-18,74,,74
2020-03-19,139,57,82
2020-03-20,79,,79
2020-03-21,82,,82
2020-03-22,70,,70
2020-03-23,122,57,65
2020-03-24,67,,67
2020-03-25,139,61,78
2020-03-26,69,,69
2020-03-27,65,,65
2020-03-28,71,,71
2020-03-29,133,59,74
2020-03-30,128,57,71
2020-03-31,126,57,69
2020-04-01,140,61,79
