日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,65,,65
2020-01-22,148,57,91
2020-01-23,167,59,108
2020-01-24,156,59,97
2020-01-25,170,61,109
2020-01-26,184,59,125
2020-01-27,181,59,122
2020-01-28,169,57,112
2020-01-29,156,59,97
2020-01-30,167,61,106
2020-01-31,135,57,78
2020-02-01,169,61,108
2020-02-02,146,57,89
2020-02-03,141,59,82
2020-02-04,139,57,82
2020-02-05,145,59,86
2020-02-06,142,59,83
2020-02-07,127,57,70
2020-02-08,139,61,78
2020-02-09,137,59,78
2020-02-10,138,59,79
2020-02-11,71,,71
2020-02-12,83,,83
2020-02-13,137,57,80
2020-02-14,73,,73
2020-02-15,133,57,76
2020-02-16,70,,70
2020-02-17,82,,82
2020-02-18,139,59,80
2020-02-19,83,,83
2020-02-20,79,,79
2020-02-21,137,57,80
2020-02-22,74,,74
2020-02-23,139,59,80
2020-02-24,82,,82
2020-02-25,141,59,82
2020-02-26,143,57,86
2020-02-27,130,57,73
2020-02-28,71,,71
2020-02-29,80,,80
2020-03-01,74,,74
2020-03-02,73,,73
2020-03-03,126,57,69
2020-03-04,67,,67
2020-03-05,65,,65
2020-03-06,70,,70
2020-03-07,63,,63
2020-03-08,117,59,58
2020-03-09,117,57,60
2020-03-10,58,,58
2020-03-11,60,,60
2020-03-12,61,,61
2020-03-13,63,,63
2020-03-14,128,57,71
2020-03-15,70,,70
2020-03-16,123,57,66
2020-03-17,122,59,63
2020-03-18,57,,57
2020-03-19,61,,61
2020-03-20,,,
2020-03-21,57,,57
2020-03-22,57,,57
2020-03-23,59,59,
2020-03-24,66,,66
2020-03-25,124,57,67
2020-03-26,60,,60
2020-03-27,60,,60
2020-03-28,61,,61
2020-03-29,58,,58
2020-03-30,63,,63
2020-03-31,58,,58
2020-04-01,60,,60
