日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,57,,57
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,57,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,60,,60
2020-01-21,61,,61
2020-01-22,153,57,96
2020-01-23,249,64,185
2020-01-24,189,57,132
2020-01-25,188,63,125
2020-01-26,210,61,149
2020-01-27,170,61,109
2020-01-28,156,57,99
2020-01-29,152,57,95
2020-01-30,133,59,74
2020-01-31,146,59,87
2020-02-01,82,,82
2020-02-02,124,57,67
2020-02-03,78,,78
2020-02-04,71,,71
2020-02-05,73,,73
2020-02-06,129,59,70
2020-02-07,66,,66
2020-02-08,124,57,67
2020-02-09,139,59,80
2020-02-10,120,57,63
2020-02-11,65,,65
2020-02-12,122,57,65
2020-02-13,120,57,63
2020-02-14,70,,70
2020-02-15,126,59,67
2020-02-16,128,59,69
2020-02-17,67,,67
2020-02-18,117,59,58
2020-02-19,124,57,67
2020-02-20,131,57,74
2020-02-21,128,57,71
2020-02-22,128,57,71
2020-02-23,69,,69
2020-02-24,69,,69
2020-02-25,66,,66
2020-02-26,126,59,67
2020-02-27,70,,70
2020-02-28,126,59,67
2020-02-29,73,,73
2020-03-01,66,,66
2020-03-02,124,57,67
2020-03-03,66,,66
2020-03-04,67,,67
2020-03-05,124,57,67
2020-03-06,63,,63
2020-03-07,118,57,61
2020-03-08,120,57,63
2020-03-09,127,61,66
2020-03-10,131,57,74
2020-03-11,61,,61
2020-03-12,120,57,63
2020-03-13,132,61,71
2020-03-14,124,59,65
2020-03-15,69,,69
2020-03-16,70,,70
2020-03-17,66,,66
2020-03-18,126,61,65
2020-03-19,66,,66
2020-03-20,120,59,61
2020-03-21,70,,70
2020-03-22,67,,67
2020-03-23,69,,69
2020-03-24,70,,70
2020-03-25,57,,57
2020-03-26,65,,65
2020-03-27,,,
2020-03-28,122,57,65
2020-03-29,60,,60
2020-03-30,61,,61
2020-03-31,118,57,61
2020-04-01,60,,60
