日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,57,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,57,,57
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,118,61,57
2020-01-21,163,66,97
2020-01-22,241,80,161
2020-01-23,314,89,225
2020-01-24,273,93,180
2020-01-25,310,78,232
2020-01-26,317,83,234
2020-01-27,285,80,205
2020-01-28,271,82,189
2020-01-29,233,68,165
2020-01-30,229,78,151
2020-01-31,233,78,155
2020-02-01,246,80,166
2020-02-02,293,101,192
2020-02-03,235,72,163
2020-02-04,246,91,155
2020-02-05,243,83,160
2020-02-06,243,70,173
2020-02-07,248,74,174
2020-02-08,231,70,161
2020-02-09,227,70,157
2020-02-10,228,66,162
2020-02-11,207,72,135
2020-02-12,223,72,151
2020-02-13,229,82,147
2020-02-14,243,78,165
2020-02-15,210,61,149
2020-02-16,211,68,143
2020-02-17,207,63,144
2020-02-18,219,76,143
2020-02-19,231,76,155
2020-02-20,231,76,155
2020-02-21,209,68,141
2020-02-22,176,59,117
2020-02-23,219,64,155
2020-02-24,221,63,158
2020-02-25,230,72,158
2020-02-26,197,66,131
2020-02-27,219,76,143
2020-02-28,211,63,148
2020-02-29,174,68,106
2020-03-01,162,63,99
2020-03-02,169,63,106
2020-03-03,163,57,106
2020-03-04,159,72,87
2020-03-05,155,68,87
2020-03-06,166,70,96
2020-03-07,151,59,92
2020-03-08,147,61,86
2020-03-09,149,63,86
2020-03-10,156,61,95
2020-03-11,146,63,83
2020-03-12,145,63,82
2020-03-13,128,57,71
2020-03-14,139,61,78
2020-03-15,138,59,79
2020-03-16,143,64,79
2020-03-17,128,57,71
2020-03-18,139,59,80
2020-03-19,139,61,78
2020-03-20,76,,76
2020-03-21,136,66,70
2020-03-22,73,,73
2020-03-23,135,59,76
2020-03-24,66,,66
2020-03-25,141,57,84
2020-03-26,130,61,69
2020-03-27,63,,63
2020-03-28,67,,67
2020-03-29,66,,66
2020-03-30,137,63,74
2020-03-31,67,,67
2020-04-01,123,57,66
