日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,57,57,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,57,,57
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,127,57,70
2020-01-22,191,57,134
2020-01-23,233,63,170
2020-01-24,194,59,135
2020-01-25,188,57,131
2020-01-26,245,68,177
2020-01-27,212,57,155
2020-01-28,191,57,134
2020-01-29,187,59,128
2020-01-30,156,64,92
2020-01-31,165,57,108
2020-02-01,157,57,100
2020-02-02,168,66,102
2020-02-03,143,61,82
2020-02-04,161,61,100
2020-02-05,164,59,105
2020-02-06,144,64,80
2020-02-07,154,59,95
2020-02-08,146,66,80
2020-02-09,146,57,89
2020-02-10,146,59,87
2020-02-11,140,57,83
2020-02-12,130,57,73
2020-02-13,137,61,76
2020-02-14,71,,71
2020-02-15,139,59,80
2020-02-16,135,57,78
2020-02-17,137,59,78
2020-02-18,137,59,78
2020-02-19,80,,80
2020-02-20,144,57,87
2020-02-21,89,,89
2020-02-22,86,,86
2020-02-23,150,59,91
2020-02-24,172,66,106
2020-02-25,148,57,91
2020-02-26,172,57,115
2020-02-27,164,64,100
2020-02-28,152,59,93
2020-02-29,148,59,89
2020-03-01,139,57,82
2020-03-02,131,57,74
2020-03-03,83,,83
2020-03-04,141,57,84
2020-03-05,122,57,65
2020-03-06,135,59,76
2020-03-07,133,59,74
2020-03-08,124,57,67
2020-03-09,70,,70
2020-03-10,80,,80
2020-03-11,126,57,69
2020-03-12,137,57,80
2020-03-13,127,57,70
2020-03-14,66,,66
2020-03-15,60,,60
2020-03-16,65,,65
2020-03-17,69,,69
2020-03-18,61,,61
2020-03-19,61,,61
2020-03-20,65,,65
2020-03-21,58,,58
2020-03-22,63,,63
2020-03-23,119,59,60
2020-03-24,60,,60
2020-03-25,118,57,61
2020-03-26,65,,65
2020-03-27,60,,60
2020-03-28,115,57,58
2020-03-29,58,,58
2020-03-30,118,57,61
2020-03-31,57,,57
2020-04-01,60,,60
