日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,57,57,
2019-12-23,57,,57
2019-12-24,57,57,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,57,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,61,,61
2020-01-21,178,59,119
2020-01-22,298,83,215
2020-01-23,333,80,253
2020-01-24,222,70,152
2020-01-25,330,89,241
2020-01-26,311,83,228
2020-01-27,294,89,205
2020-01-28,252,63,189
2020-01-29,230,70,160
2020-01-30,224,70,154
2020-01-31,224,70,154
2020-02-01,219,72,147
2020-02-02,239,78,161
2020-02-03,236,91,145
2020-02-04,242,76,166
2020-02-05,226,78,148
2020-02-06,233,82,151
2020-02-07,251,85,166
2020-02-08,224,80,144
2020-02-09,204,83,121
2020-02-10,217,83,134
2020-02-11,237,78,159
2020-02-12,196,70,126
2020-02-13,240,85,155
2020-02-14,221,70,151
2020-02-15,197,61,136
2020-02-16,179,61,118
2020-02-17,178,70,108
2020-02-18,164,64,100
2020-02-19,161,68,93
2020-02-20,147,61,86
2020-02-21,174,68,106
2020-02-22,158,66,92
2020-02-23,87,,87
2020-02-24,154,59,95
2020-02-25,183,70,113
2020-02-26,175,66,109
2020-02-27,155,68,87
2020-02-28,165,68,97
2020-02-29,166,64,102
2020-03-01,156,59,97
2020-03-02,164,68,96
2020-03-03,147,61,86
2020-03-04,133,59,74
2020-03-05,135,59,76
2020-03-06,140,57,83
2020-03-07,140,61,79
2020-03-08,145,59,86
2020-03-09,141,63,78
2020-03-10,133,64,69
2020-03-11,135,57,78
2020-03-12,131,61,70
2020-03-13,137,63,74
2020-03-14,132,63,69
2020-03-15,69,,69
2020-03-16,132,59,73
2020-03-17,126,59,67
2020-03-18,127,57,70
2020-03-19,125,59,66
2020-03-20,117,57,60
2020-03-21,63,,63
2020-03-22,70,,70
2020-03-23,128,57,71
2020-03-24,128,57,71
2020-03-25,124,59,65
2020-03-26,129,66,63
2020-03-27,127,57,70
2020-03-28,70,,70
2020-03-29,134,63,71
2020-03-30,128,57,71
2020-03-31,133,57,76
2020-04-01,126,61,65
