日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,58,,58
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,60,,60
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,,57
2020-01-19,,,
2020-01-20,,,
2020-01-21,130,57,73
2020-01-22,89,,89
2020-01-23,178,57,121
2020-01-24,153,57,96
2020-01-25,113,,113
2020-01-26,126,,126
2020-01-27,180,57,123
2020-01-28,176,57,119
2020-01-29,180,63,117
2020-01-30,167,61,106
2020-01-31,169,59,110
2020-02-01,177,59,118
2020-02-02,156,57,99
2020-02-03,178,63,115
2020-02-04,160,61,99
2020-02-05,163,64,99
2020-02-06,169,59,110
2020-02-07,148,57,91
2020-02-08,156,63,93
2020-02-09,143,59,84
2020-02-10,146,63,83
2020-02-11,141,59,82
2020-02-12,127,57,70
2020-02-13,137,57,80
2020-02-14,149,63,86
2020-02-15,137,57,80
2020-02-16,134,61,73
2020-02-17,137,59,78
2020-02-18,141,57,84
2020-02-19,131,57,74
2020-02-20,97,,97
2020-02-21,133,59,74
2020-02-22,154,59,95
2020-02-23,87,,87
2020-02-24,137,61,76
2020-02-25,145,59,86
2020-02-26,91,,91
2020-02-27,157,61,96
2020-02-28,146,57,89
2020-02-29,136,57,79
2020-03-01,150,57,93
2020-03-02,156,64,92
2020-03-03,87,,87
2020-03-04,80,,80
2020-03-05,131,57,74
2020-03-06,130,57,73
2020-03-07,73,,73
2020-03-08,78,,78
2020-03-09,139,57,82
2020-03-10,63,,63
2020-03-11,130,57,73
2020-03-12,122,57,65
2020-03-13,65,,65
2020-03-14,128,57,71
2020-03-15,60,,60
2020-03-16,65,,65
2020-03-17,65,,65
2020-03-18,123,57,66
2020-03-19,116,59,57
2020-03-20,118,57,61
2020-03-21,61,,61
2020-03-22,66,,66
2020-03-23,63,,63
2020-03-24,61,,61
2020-03-25,117,57,60
2020-03-26,66,,66
2020-03-27,65,,65
2020-03-28,65,,65
2020-03-29,65,,65
2020-03-30,61,,61
2020-03-31,120,57,63
2020-04-01,63,,63
