日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,57,57,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,57,
2020-01-21,139,61,78
2020-01-22,147,,147
2020-01-23,287,85,202
2020-01-24,196,64,132
2020-01-25,232,68,164
2020-01-26,251,68,183
2020-01-27,231,64,167
2020-01-28,222,70,152
2020-01-29,200,74,126
2020-01-30,185,64,121
2020-01-31,206,68,138
2020-02-01,211,64,147
2020-02-02,212,74,138
2020-02-03,218,66,152
2020-02-04,207,64,143
2020-02-05,183,61,122
2020-02-06,192,64,128
2020-02-07,190,72,118
2020-02-08,153,61,92
2020-02-09,99,,99
2020-02-10,154,59,95
2020-02-11,168,63,105
2020-02-12,165,61,104
2020-02-13,155,59,96
2020-02-14,141,57,84
2020-02-15,155,68,87
2020-02-16,150,63,87
2020-02-17,165,57,108
2020-02-18,137,59,78
2020-02-19,74,,74
2020-02-20,83,,83
2020-02-21,157,61,96
2020-02-22,144,57,87
2020-02-23,135,57,78
2020-02-24,136,57,79
2020-02-25,140,61,79
2020-02-26,148,61,87
2020-02-27,143,63,80
2020-02-28,140,61,79
2020-02-29,130,59,71
2020-03-01,130,59,71
2020-03-02,141,61,80
2020-03-03,133,59,74
2020-03-04,141,59,82
2020-03-05,127,57,70
2020-03-06,137,57,80
2020-03-07,149,57,92
2020-03-08,86,,86
2020-03-09,138,59,79
2020-03-10,135,57,78
2020-03-11,79,,79
2020-03-12,136,63,73
2020-03-13,137,57,80
2020-03-14,73,,73
2020-03-15,126,57,69
2020-03-16,124,59,65
2020-03-17,128,57,71
2020-03-18,130,64,66
2020-03-19,76,,76
2020-03-20,63,,63
2020-03-21,63,,63
2020-03-22,66,,66
2020-03-23,130,61,69
2020-03-24,73,,73
2020-03-25,117,57,60
2020-03-26,61,,61
2020-03-27,63,,63
2020-03-28,132,61,71
2020-03-29,65,,65
2020-03-30,128,61,67
2020-03-31,123,57,66
2020-04-01,119,59,60
