日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,57,,57
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,67,,67
2020-01-22,119,,119
2020-01-23,249,72,177
2020-01-24,191,61,130
2020-01-25,226,61,165
2020-01-26,246,70,176
2020-01-27,222,68,154
2020-01-28,194,59,135
2020-01-29,182,57,125
2020-01-30,165,63,102
2020-01-31,173,64,109
2020-02-01,149,57,92
2020-02-02,181,64,117
2020-02-03,167,68,99
2020-02-04,154,61,93
2020-02-05,159,57,102
2020-02-06,168,59,109
2020-02-07,146,57,89
2020-02-08,144,57,87
2020-02-09,153,61,92
2020-02-10,76,,76
2020-02-11,152,57,95
2020-02-12,143,64,79
2020-02-13,133,59,74
2020-02-14,133,59,74
2020-02-15,127,57,70
2020-02-16,136,57,79
2020-02-17,137,59,78
2020-02-18,131,61,70
2020-02-19,124,57,67
2020-02-20,130,57,73
2020-02-21,80,,80
2020-02-22,137,59,78
2020-02-23,133,57,76
2020-02-24,69,,69
2020-02-25,143,61,82
2020-02-26,84,,84
2020-02-27,131,57,74
2020-02-28,152,57,95
2020-02-29,76,,76
2020-03-01,136,57,79
2020-03-02,130,57,73
2020-03-03,133,57,76
2020-03-04,135,57,78
2020-03-05,139,57,82
2020-03-06,135,57,78
2020-03-07,138,59,79
2020-03-08,70,,70
2020-03-09,127,57,70
2020-03-10,73,,73
2020-03-11,63,,63
2020-03-12,71,,71
2020-03-13,127,61,66
2020-03-14,69,,69
2020-03-15,71,,71
2020-03-16,127,61,66
2020-03-17,65,,65
2020-03-18,71,,71
2020-03-19,65,,65
2020-03-20,65,,65
2020-03-21,120,57,63
2020-03-22,66,,66
2020-03-23,61,,61
2020-03-24,61,,61
2020-03-25,117,57,60
2020-03-26,63,,63
2020-03-27,65,,65
2020-03-28,65,,65
2020-03-29,65,,65
2020-03-30,125,59,66
2020-03-31,60,,60
2020-04-01,60,,60
