日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,57,,57
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,57,57,
2019-12-31,57,57,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,57,57,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,114,57,57
2020-01-21,89,,89
2020-01-22,212,61,151
2020-01-23,178,,178
2020-01-24,144,,144
2020-01-25,159,,159
2020-01-26,189,,189
2020-01-27,168,,168
2020-01-28,212,57,155
2020-01-29,196,57,139
2020-01-30,188,57,131
2020-01-31,195,59,136
2020-02-01,128,,128
2020-02-02,110,,110
2020-02-03,158,59,99
2020-02-04,179,57,122
2020-02-05,175,57,118
2020-02-06,165,59,106
2020-02-07,175,57,118
2020-02-08,100,,100
2020-02-09,178,57,121
2020-02-10,172,63,109
2020-02-11,156,59,97
2020-02-12,106,,106
2020-02-13,145,59,86
2020-02-14,89,,89
2020-02-15,89,,89
2020-02-16,154,57,97
2020-02-17,76,,76
2020-02-18,91,,91
2020-02-19,87,,87
2020-02-20,92,,92
2020-02-21,137,57,80
2020-02-22,79,,79
2020-02-23,130,57,73
2020-02-24,71,,71
2020-02-25,78,,78
2020-02-26,150,59,91
2020-02-27,123,,123
2020-02-28,97,,97
2020-02-29,159,59,100
2020-03-01,87,,87
2020-03-02,152,61,91
2020-03-03,152,57,95
2020-03-04,87,,87
2020-03-05,105,,105
2020-03-06,133,57,76
2020-03-07,84,,84
2020-03-08,91,,91
2020-03-09,131,57,74
2020-03-10,76,,76
2020-03-11,82,,82
2020-03-12,80,,80
2020-03-13,73,,73
2020-03-14,79,,79
2020-03-15,66,,66
2020-03-16,74,,74
2020-03-17,127,57,70
2020-03-18,126,57,69
2020-03-19,69,,69
2020-03-20,58,,58
2020-03-21,61,,61
2020-03-22,70,,70
2020-03-23,66,,66
2020-03-24,69,,69
2020-03-25,78,,78
2020-03-26,71,,71
2020-03-27,76,,76
2020-03-28,131,57,74
2020-03-29,70,,70
2020-03-30,66,,66
2020-03-31,71,,71
2020-04-01,70,,70
