日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,57,,57
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,67,,67
2020-01-22,170,66,104
2020-01-23,194,68,126
2020-01-24,163,59,104
2020-01-25,168,63,105
2020-01-26,169,57,112
2020-01-27,143,59,84
2020-01-28,148,61,87
2020-01-29,133,59,74
2020-01-30,141,63,78
2020-01-31,141,57,84
2020-02-01,139,57,82
2020-02-02,135,61,74
2020-02-03,133,59,74
2020-02-04,133,57,76
2020-02-05,135,59,76
2020-02-06,93,,93
2020-02-07,130,57,73
2020-02-08,126,57,69
2020-02-09,130,59,71
2020-02-10,91,,91
2020-02-11,145,59,86
2020-02-12,73,,73
2020-02-13,124,57,67
2020-02-14,126,57,69
2020-02-15,65,,65
2020-02-16,71,,71
2020-02-17,122,57,65
2020-02-18,132,63,69
2020-02-19,61,,61
2020-02-20,123,57,66
2020-02-21,120,59,61
2020-02-22,114,57,57
2020-02-23,60,,60
2020-02-24,76,,76
2020-02-25,127,61,66
2020-02-26,66,,66
2020-02-27,63,,63
2020-02-28,122,57,65
2020-02-29,58,,58
2020-03-01,61,,61
2020-03-02,126,57,69
2020-03-03,61,,61
2020-03-04,135,64,71
2020-03-05,60,,60
2020-03-06,61,,61
2020-03-07,61,,61
2020-03-08,58,,58
2020-03-09,61,,61
2020-03-10,117,57,60
2020-03-11,60,,60
2020-03-12,117,57,60
2020-03-13,60,,60
2020-03-14,115,57,58
2020-03-15,117,57,60
2020-03-16,115,57,58
2020-03-17,,,
2020-03-18,59,59,
2020-03-19,65,,65
2020-03-20,61,,61
2020-03-21,58,,58
2020-03-22,57,,57
2020-03-23,,,
2020-03-24,57,,57
2020-03-25,60,,60
2020-03-26,,,
2020-03-27,58,,58
2020-03-28,,,
2020-03-29,57,,57
2020-03-30,57,,57
2020-03-31,58,,58
2020-04-01,57,,57
