日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,58,,58
2020-01-21,120,57,63
2020-01-22,151,59,92
2020-01-23,182,63,119
2020-01-24,151,64,87
2020-01-25,150,57,93
2020-01-26,176,57,119
2020-01-27,115,,115
2020-01-28,159,70,89
2020-01-29,164,59,105
2020-01-30,150,57,93
2020-01-31,148,59,89
2020-02-01,95,,95
2020-02-02,152,59,93
2020-02-03,153,61,92
2020-02-04,156,63,93
2020-02-05,127,57,70
2020-02-06,134,61,73
2020-02-07,161,85,76
2020-02-08,141,70,71
2020-02-09,163,74,89
2020-02-10,135,61,74
2020-02-11,134,61,73
2020-02-12,126,59,67
2020-02-13,135,59,76
2020-02-14,135,61,74
2020-02-15,138,59,79
2020-02-16,128,59,69
2020-02-17,128,59,69
2020-02-18,74,,74
2020-02-19,70,,70
2020-02-20,137,63,74
2020-02-21,67,,67
2020-02-22,70,,70
2020-02-23,78,,78
2020-02-24,67,,67
2020-02-25,76,,76
2020-02-26,71,,71
2020-02-27,135,59,76
2020-02-28,70,,70
2020-02-29,119,61,58
2020-03-01,61,,61
2020-03-02,128,59,69
2020-03-03,66,,66
2020-03-04,67,,67
2020-03-05,67,,67
2020-03-06,122,59,63
2020-03-07,70,,70
2020-03-08,58,,58
2020-03-09,122,59,63
2020-03-10,70,,70
2020-03-11,128,63,65
2020-03-12,128,59,69
2020-03-13,145,63,82
2020-03-14,66,,66
2020-03-15,70,,70
2020-03-16,124,59,65
2020-03-17,118,57,61
2020-03-18,128,63,65
2020-03-19,57,,57
2020-03-20,127,57,70
2020-03-21,58,,58
2020-03-22,120,57,63
2020-03-23,115,57,58
2020-03-24,127,57,70
2020-03-25,61,,61
2020-03-26,61,,61
2020-03-27,,,
2020-03-28,58,,58
2020-03-29,58,,58
2020-03-30,117,59,58
2020-03-31,63,,63
2020-04-01,63,,63
