日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,58,,58
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,57,,57
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,57,57,
2019-12-18,58,,58
2019-12-19,,,
2019-12-20,,,
2019-12-21,57,,57
2019-12-22,61,,61
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,,,
2020-01-19,,,
2020-01-20,122,59,63
2020-01-21,246,57,189
2020-01-22,465,72,393
2020-01-23,648,70,578
2020-01-24,392,72,320
2020-01-25,587,70,517
2020-01-26,554,76,478
2020-01-27,498,76,422
2020-01-28,468,68,400
2020-01-29,413,66,347
2020-01-30,394,63,331
2020-01-31,390,70,320
2020-02-01,413,82,331
2020-02-02,370,72,298
2020-02-03,352,83,269
2020-02-04,337,74,263
2020-02-05,328,83,245
2020-02-06,330,76,254
2020-02-07,301,66,235
2020-02-08,297,61,236
2020-02-09,267,61,206
2020-02-10,275,66,209
2020-02-11,279,83,196
2020-02-12,265,59,206
2020-02-13,255,74,181
2020-02-14,253,64,189
2020-02-15,239,63,176
2020-02-16,194,63,131
2020-02-17,215,72,143
2020-02-18,230,63,167
2020-02-19,229,63,166
2020-02-20,171,,171
2020-02-21,225,61,164
2020-02-22,223,68,155
2020-02-23,163,,163
2020-02-24,191,61,130
2020-02-25,242,63,179
2020-02-26,209,64,145
2020-02-27,234,74,160
2020-02-28,198,63,135
2020-02-29,207,68,139
2020-03-01,207,64,143
2020-03-02,212,61,151
2020-03-03,119,,119
2020-03-04,183,61,122
2020-03-05,187,57,130
2020-03-06,193,63,130
2020-03-07,161,57,104
2020-03-08,183,66,117
2020-03-09,100,,100
2020-03-10,165,63,102
2020-03-11,95,,95
2020-03-12,142,59,83
2020-03-13,159,63,96
2020-03-14,102,,102
2020-03-15,83,,83
2020-03-16,148,59,89
2020-03-17,133,57,76
2020-03-18,130,57,73
2020-03-19,137,57,80
2020-03-20,135,59,76
2020-03-21,63,,63
2020-03-22,71,,71
2020-03-23,78,,78
2020-03-24,135,57,78
2020-03-25,80,,80
2020-03-26,127,57,70
2020-03-27,137,57,80
2020-03-28,79,,79
2020-03-29,71,,71
2020-03-30,69,,69
2020-03-31,67,,67
2020-04-01,146,63,83
