日期,全部,pc,移动
2019-12-01,116,59,57
2019-12-02,131,57,74
2019-12-03,63,,63
2019-12-04,124,59,65
2019-12-05,131,57,74
2019-12-06,60,,60
2019-12-07,120,57,63
2019-12-08,135,57,78
2019-12-09,122,57,65
2019-12-10,70,,70
2019-12-11,67,,67
2019-12-12,118,57,61
2019-12-13,117,57,60
2019-12-14,63,,63
2019-12-15,128,57,71
2019-12-16,124,57,67
2019-12-17,67,,67
2019-12-18,58,,58
2019-12-19,58,,58
2019-12-20,65,,65
2019-12-21,58,,58
2019-12-22,63,,63
2019-12-23,61,,61
2019-12-24,63,,63
2019-12-25,73,,73
2019-12-26,66,,66
2019-12-27,58,,58
2019-12-28,65,,65
2019-12-29,61,,61
2019-12-30,66,,66
2019-12-31,126,57,69
2020-01-01,124,57,67
2020-01-02,60,,60
2020-01-03,122,57,65
2020-01-04,60,,60
2020-01-05,118,57,61
2020-01-06,65,,65
2020-01-07,61,,61
2020-01-08,65,,65
2020-01-09,57,,57
2020-01-10,58,,58
2020-01-11,61,,61
2020-01-12,58,,58
2020-01-13,58,,58
2020-01-14,61,,61
2020-01-15,65,,65
2020-01-16,,,
2020-01-17,117,57,60
2020-01-18,57,,57
2020-01-19,61,,61
2020-01-20,205,74,131
2020-01-21,666,133,533
2020-01-22,1102,170,932
2020-01-23,1242,177,1065
2020-01-24,988,116,872
2020-01-25,1090,135,955
2020-01-26,1266,180,1086
2020-01-27,1176,165,1011
2020-01-28,1138,159,979
2020-01-29,1064,166,898
2020-01-30,1034,146,888
2020-01-31,1046,169,877
2020-02-01,1029,169,860
2020-02-02,1031,176,855
2020-02-03,952,198,754
2020-02-04,938,175,763
2020-02-05,957,173,784
2020-02-06,962,151,811
2020-02-07,930,150,780
2020-02-08,901,133,768
2020-02-09,864,148,716
2020-02-10,918,194,724
2020-02-11,764,175,589
2020-02-12,776,166,610
2020-02-13,874,201,673
2020-02-14,902,169,733
2020-02-15,722,120,602
2020-02-16,667,116,551
2020-02-17,701,173,528
2020-02-18,725,166,559
2020-02-19,653,142,511
2020-02-20,659,151,508
2020-02-21,639,150,489
2020-02-22,622,123,499
2020-02-23,558,114,444
2020-02-24,674,163,511
2020-02-25,599,152,447
2020-02-26,609,148,461
2020-02-27,645,155,490
2020-02-28,620,165,455
2020-02-29,494,125,369
2020-03-01,443,91,352
2020-03-02,569,162,407
2020-03-03,504,125,379
2020-03-04,492,140,352
2020-03-05,483,114,369
2020-03-06,429,129,300
2020-03-07,388,93,295
2020-03-08,342,78,264
2020-03-09,375,114,261
2020-03-10,368,108,260
2020-03-11,367,112,255
2020-03-12,366,93,273
2020-03-13,400,123,277
2020-03-14,304,70,234
2020-03-15,352,91,261
2020-03-16,397,112,285
2020-03-17,412,110,302
2020-03-18,334,93,241
2020-03-19,341,102,239
2020-03-20,315,91,224
2020-03-21,324,63,261
2020-03-22,295,59,236
2020-03-23,310,101,209
2020-03-24,294,83,211
2020-03-25,307,93,214
2020-03-26,285,89,196
2020-03-27,264,68,196
2020-03-28,253,64,189
2020-03-29,248,66,182
2020-03-30,292,93,199
2020-03-31,259,76,183
2020-04-01,246,76,170
