日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,,,
2019-12-05,58,,58
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,60,,60
2019-12-26,57,,57
2019-12-27,114,57,57
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,60,,60
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,57,,57
2020-01-05,60,,60
2020-01-06,61,,61
2020-01-07,57,,57
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,57,57,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,129,59,70
2020-01-21,210,63,147
2020-01-22,414,87,327
2020-01-23,585,125,460
2020-01-24,353,78,275
2020-01-25,440,89,351
2020-01-26,487,101,386
2020-01-27,346,66,280
2020-01-28,307,72,235
2020-01-29,296,91,205
2020-01-30,280,82,198
2020-01-31,280,74,206
2020-02-01,274,72,202
2020-02-02,300,89,211
2020-02-03,289,85,204
2020-02-04,278,85,193
2020-02-05,262,76,186
2020-02-06,308,102,206
2020-02-07,270,83,187
2020-02-08,258,78,180
2020-02-09,265,72,193
2020-02-10,275,89,186
2020-02-11,255,78,177
2020-02-12,247,80,167
2020-02-13,229,70,159
2020-02-14,210,72,138
2020-02-15,213,68,145
2020-02-16,214,63,151
2020-02-17,213,72,141
2020-02-18,195,70,125
2020-02-19,198,63,135
2020-02-20,209,64,145
2020-02-21,242,74,168
2020-02-22,234,72,162
2020-02-23,218,61,157
2020-02-24,204,78,126
2020-02-25,233,85,148
2020-02-26,230,76,154
2020-02-27,199,63,136
2020-02-28,210,74,136
2020-02-29,213,68,145
2020-03-01,199,64,135
2020-03-02,193,70,123
2020-03-03,199,68,131
2020-03-04,200,72,128
2020-03-05,179,64,115
2020-03-06,173,64,109
2020-03-07,173,64,109
2020-03-08,195,64,131
2020-03-09,187,66,121
2020-03-10,199,63,136
2020-03-11,191,63,128
2020-03-12,194,76,118
2020-03-13,181,76,105
2020-03-14,154,63,91
2020-03-15,160,63,97
2020-03-16,158,66,92
2020-03-17,159,63,96
2020-03-18,150,61,89
2020-03-19,144,61,83
2020-03-20,152,59,93
2020-03-21,136,57,79
2020-03-22,131,57,74
2020-03-23,131,61,70
2020-03-24,86,,86
2020-03-25,155,64,91
2020-03-26,134,61,73
2020-03-27,133,57,76
2020-03-28,74,,74
2020-03-29,120,57,63
2020-03-30,131,64,67
2020-03-31,74,,74
2020-04-01,128,61,67
