日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,57,57,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,57,,57
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,117,57,60
2020-01-22,146,57,89
2020-01-23,155,59,96
2020-01-24,76,,76
2020-01-25,109,,109
2020-01-26,191,59,132
2020-01-27,163,61,102
2020-01-28,163,68,95
2020-01-29,149,63,86
2020-01-30,157,57,100
2020-01-31,154,59,95
2020-02-01,102,,102
2020-02-02,76,,76
2020-02-03,136,57,79
2020-02-04,137,57,80
2020-02-05,91,,91
2020-02-06,133,57,76
2020-02-07,127,57,70
2020-02-08,140,61,79
2020-02-09,67,,67
2020-02-10,70,,70
2020-02-11,135,59,76
2020-02-12,132,61,71
2020-02-13,132,59,73
2020-02-14,136,57,79
2020-02-15,128,59,69
2020-02-16,79,,79
2020-02-17,122,57,65
2020-02-18,126,61,65
2020-02-19,66,,66
2020-02-20,128,57,71
2020-02-21,71,,71
2020-02-22,69,,69
2020-02-23,143,59,84
2020-02-24,136,63,73
2020-02-25,143,59,84
2020-02-26,87,,87
2020-02-27,150,57,93
2020-02-28,144,61,83
2020-02-29,146,57,89
2020-03-01,132,59,73
2020-03-02,145,61,84
2020-03-03,73,,73
2020-03-04,143,61,82
2020-03-05,136,57,79
2020-03-06,67,,67
2020-03-07,66,,66
2020-03-08,126,61,65
2020-03-09,130,57,73
2020-03-10,122,57,65
2020-03-11,125,59,66
2020-03-12,126,61,65
2020-03-13,58,,58
2020-03-14,128,61,67
2020-03-15,57,,57
2020-03-16,61,,61
2020-03-17,65,,65
2020-03-18,60,,60
2020-03-19,119,59,60
2020-03-20,118,61,57
2020-03-21,60,,60
2020-03-22,63,,63
2020-03-23,120,57,63
2020-03-24,60,,60
2020-03-25,63,,63
2020-03-26,61,,61
2020-03-27,58,,58
2020-03-28,114,57,57
2020-03-29,60,,60
2020-03-30,58,,58
2020-03-31,60,,60
2020-04-01,,,
