日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,57,,57
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,57,57,
2020-01-08,,,
2020-01-09,57,57,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,57,57,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,57,
2020-01-20,63,,63
2020-01-21,181,63,118
2020-01-22,310,83,227
2020-01-23,410,82,328
2020-01-24,253,61,192
2020-01-25,187,61,126
2020-01-26,202,66,136
2020-01-27,176,61,115
2020-01-28,165,74,91
2020-01-29,158,59,99
2020-01-30,159,63,96
2020-01-31,148,61,87
2020-02-01,154,63,91
2020-02-02,159,63,96
2020-02-03,142,59,83
2020-02-04,141,59,82
2020-02-05,130,57,73
2020-02-06,161,72,89
2020-02-07,140,57,83
2020-02-08,140,57,83
2020-02-09,135,59,76
2020-02-10,132,59,73
2020-02-11,148,68,80
2020-02-12,128,61,67
2020-02-13,148,64,84
2020-02-14,131,61,70
2020-02-15,76,,76
2020-02-16,131,61,70
2020-02-17,133,59,74
2020-02-18,124,57,67
2020-02-19,126,57,69
2020-02-20,122,59,63
2020-02-21,82,,82
2020-02-22,136,57,79
2020-02-23,82,,82
2020-02-24,133,63,70
2020-02-25,129,59,70
2020-02-26,134,61,73
2020-02-27,135,57,78
2020-02-28,126,59,67
2020-02-29,133,57,76
2020-03-01,130,63,67
2020-03-02,137,61,76
2020-03-03,140,61,79
2020-03-04,129,59,70
2020-03-05,126,57,69
2020-03-06,132,59,73
2020-03-07,135,64,71
2020-03-08,130,57,73
2020-03-09,129,59,70
2020-03-10,146,66,80
2020-03-11,124,59,65
2020-03-12,131,64,67
2020-03-13,126,61,65
2020-03-14,76,,76
2020-03-15,130,57,73
2020-03-16,143,59,84
2020-03-17,125,59,66
2020-03-18,128,57,71
2020-03-19,66,,66
2020-03-20,137,64,73
2020-03-21,130,61,69
2020-03-22,74,,74
2020-03-23,71,,71
2020-03-24,67,,67
2020-03-25,129,63,66
2020-03-26,128,57,71
2020-03-27,123,57,66
2020-03-28,61,,61
2020-03-29,60,,60
2020-03-30,65,,65
2020-03-31,67,,67
2020-04-01,125,59,66
