日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,58,,58
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,59,59,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,57,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,61,,61
2020-01-21,135,61,74
2020-01-22,200,64,136
2020-01-23,239,66,173
2020-01-24,169,61,108
2020-01-25,279,68,211
2020-01-26,261,64,197
2020-01-27,249,63,186
2020-01-28,243,66,177
2020-01-29,225,66,159
2020-01-30,198,64,134
2020-01-31,240,82,158
2020-02-01,235,68,167
2020-02-02,210,76,134
2020-02-03,208,70,138
2020-02-04,216,72,144
2020-02-05,181,63,118
2020-02-06,171,63,108
2020-02-07,187,72,115
2020-02-08,220,76,144
2020-02-09,166,64,102
2020-02-10,181,66,115
2020-02-11,201,80,121
2020-02-12,199,68,131
2020-02-13,179,57,122
2020-02-14,174,61,113
2020-02-15,159,63,96
2020-02-16,148,59,89
2020-02-17,165,59,106
2020-02-18,161,59,102
2020-02-19,159,59,100
2020-02-20,178,59,119
2020-02-21,171,63,108
2020-02-22,158,61,97
2020-02-23,154,57,97
2020-02-24,148,66,82
2020-02-25,163,59,104
2020-02-26,174,61,113
2020-02-27,163,61,102
2020-02-28,143,59,84
2020-02-29,150,57,93
2020-03-01,86,,86
2020-03-02,97,,97
2020-03-03,153,57,96
2020-03-04,136,57,79
2020-03-05,150,63,87
2020-03-06,141,57,84
2020-03-07,138,59,79
2020-03-08,138,59,79
2020-03-09,145,59,86
2020-03-10,152,63,89
2020-03-11,139,59,80
2020-03-12,156,57,99
2020-03-13,87,,87
2020-03-14,74,,74
2020-03-15,122,61,61
2020-03-16,135,57,78
2020-03-17,130,57,73
2020-03-18,128,57,71
2020-03-19,132,61,71
2020-03-20,130,57,73
2020-03-21,127,61,66
2020-03-22,70,,70
2020-03-23,122,59,63
2020-03-24,134,63,71
2020-03-25,131,57,74
2020-03-26,150,59,91
2020-03-27,128,59,69
2020-03-28,126,57,69
2020-03-29,73,,73
2020-03-30,126,59,67
2020-03-31,126,57,69
2020-04-01,70,,70
