日期,全部,pc,移动
2019-12-01,69,,69
2019-12-02,73,,73
2019-12-03,61,,61
2019-12-04,130,57,73
2019-12-05,74,,74
2019-12-06,132,61,71
2019-12-07,76,,76
2019-12-08,63,,63
2019-12-09,74,,74
2019-12-10,130,57,73
2019-12-11,132,59,73
2019-12-12,128,59,69
2019-12-13,63,,63
2019-12-14,60,,60
2019-12-15,60,,60
2019-12-16,60,,60
2019-12-17,119,59,60
2019-12-18,65,,65
2019-12-19,126,57,69
2019-12-20,61,,61
2019-12-21,66,,66
2019-12-22,70,,70
2019-12-23,63,,63
2019-12-24,71,,71
2019-12-25,126,61,65
2019-12-26,66,,66
2019-12-27,60,,60
2019-12-28,126,57,69
2019-12-29,65,,65
2019-12-30,60,,60
2019-12-31,123,57,66
2020-01-01,65,,65
2020-01-02,65,,65
2020-01-03,61,,61
2020-01-04,70,,70
2020-01-05,63,,63
2020-01-06,124,57,67
2020-01-07,65,,65
2020-01-08,114,57,57
2020-01-09,61,,61
2020-01-10,66,,66
2020-01-11,63,,63
2020-01-12,67,,67
2020-01-13,117,57,60
2020-01-14,61,,61
2020-01-15,124,57,67
2020-01-16,115,57,58
2020-01-17,58,,58
2020-01-18,61,,61
2020-01-19,61,,61
2020-01-20,180,70,110
2020-01-21,612,125,487
2020-01-22,1257,216,1041
2020-01-23,1960,216,1744
2020-01-24,1074,146,928
2020-01-25,1550,165,1385
2020-01-26,1552,193,1359
2020-01-27,1180,183,997
2020-01-28,1125,183,942
2020-01-29,1085,191,894
2020-01-30,1048,170,878
2020-01-31,1105,183,922
2020-02-01,1045,173,872
2020-02-02,1021,152,869
2020-02-03,1031,176,855
2020-02-04,940,186,754
2020-02-05,871,161,710
2020-02-06,931,180,751
2020-02-07,918,170,748
2020-02-08,882,155,727
2020-02-09,860,155,705
2020-02-10,787,142,645
2020-02-11,718,133,585
2020-02-12,747,127,620
2020-02-13,716,116,600
2020-02-14,785,158,627
2020-02-15,685,133,552
2020-02-16,579,131,448
2020-02-17,612,120,492
2020-02-18,562,135,427
2020-02-19,577,127,450
2020-02-20,553,110,443
2020-02-21,549,116,433
2020-02-22,500,93,407
2020-02-23,463,101,362
2020-02-24,505,112,393
2020-02-25,485,133,352
2020-02-26,533,104,429
2020-02-27,543,116,427
2020-02-28,555,118,437
2020-02-29,536,99,437
2020-03-01,488,118,370
2020-03-02,489,120,369
2020-03-03,483,93,390
2020-03-04,506,102,404
2020-03-05,467,106,361
2020-03-06,442,97,345
2020-03-07,451,85,366
2020-03-08,382,95,287
2020-03-09,445,91,354
2020-03-10,499,104,395
2020-03-11,468,95,373
2020-03-12,460,95,365
2020-03-13,449,104,345
2020-03-14,433,89,344
2020-03-15,431,97,334
2020-03-16,468,135,333
2020-03-17,442,104,338
2020-03-18,423,108,315
2020-03-19,415,101,314
2020-03-20,351,83,268
2020-03-21,292,78,214
2020-03-22,306,59,247
2020-03-23,334,85,249
2020-03-24,277,72,205
2020-03-25,282,89,193
2020-03-26,285,85,200
2020-03-27,270,91,179
2020-03-28,259,57,202
2020-03-29,298,93,205
2020-03-30,295,91,204
2020-03-31,294,89,205
2020-04-01,287,78,209
