日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,57,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,155,59,96
2020-01-22,189,63,126
2020-01-23,258,78,180
2020-01-24,189,59,130
2020-01-25,154,57,97
2020-01-26,150,61,89
2020-01-27,83,,83
2020-01-28,125,59,66
2020-01-29,76,,76
2020-01-30,61,,61
2020-01-31,135,64,71
2020-02-01,132,63,69
2020-02-02,126,63,63
2020-02-03,133,64,69
2020-02-04,116,59,57
2020-02-05,126,61,65
2020-02-06,127,57,70
2020-02-07,125,59,66
2020-02-08,125,59,66
2020-02-09,66,,66
2020-02-10,125,59,66
2020-02-11,129,64,65
2020-02-12,67,,67
2020-02-13,136,57,79
2020-02-14,58,,58
2020-02-15,60,,60
2020-02-16,124,61,63
2020-02-17,122,59,63
2020-02-18,60,,60
2020-02-19,59,59,
2020-02-20,122,59,63
2020-02-21,65,,65
2020-02-22,117,59,58
2020-02-23,120,59,61
2020-02-24,119,61,58
2020-02-25,116,59,57
2020-02-26,67,,67
2020-02-27,117,57,60
2020-02-28,116,59,57
2020-02-29,119,61,58
2020-03-01,122,61,61
2020-03-02,115,57,58
2020-03-03,126,57,69
2020-03-04,60,,60
2020-03-05,67,,67
2020-03-06,,,
2020-03-07,60,,60
2020-03-08,61,,61
2020-03-09,66,,66
2020-03-10,115,57,58
2020-03-11,61,,61
2020-03-12,120,57,63
2020-03-13,120,57,63
2020-03-14,65,,65
2020-03-15,117,57,60
2020-03-16,120,59,61
2020-03-17,61,,61
2020-03-18,121,63,58
2020-03-19,120,59,61
2020-03-20,61,,61
2020-03-21,115,57,58
2020-03-22,118,57,61
2020-03-23,126,61,65
2020-03-24,57,,57
2020-03-25,60,,60
2020-03-26,61,,61
2020-03-27,,,
2020-03-28,58,,58
2020-03-29,69,,69
2020-03-30,58,,58
2020-03-31,57,57,
2020-04-01,122,59,63
