日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,57,57,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,57,
2020-01-07,,,
2020-01-08,57,57,
2020-01-09,,,
2020-01-10,57,57,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,123,57,66
2020-01-22,167,59,108
2020-01-23,211,57,154
2020-01-24,150,59,91
2020-01-25,211,64,147
2020-01-26,204,61,143
2020-01-27,182,61,121
2020-01-28,210,78,132
2020-01-29,160,64,96
2020-01-30,169,63,106
2020-01-31,163,63,100
2020-02-01,154,61,93
2020-02-02,161,59,102
2020-02-03,146,59,87
2020-02-04,89,,89
2020-02-05,143,59,84
2020-02-06,155,63,92
2020-02-07,150,59,91
2020-02-08,129,59,70
2020-02-09,146,63,83
2020-02-10,137,63,74
2020-02-11,139,57,82
2020-02-12,143,64,79
2020-02-13,143,61,82
2020-02-14,155,63,92
2020-02-15,139,57,82
2020-02-16,130,59,71
2020-02-17,136,57,79
2020-02-18,76,,76
2020-02-19,128,61,67
2020-02-20,67,,67
2020-02-21,139,57,82
2020-02-22,74,,74
2020-02-23,139,59,80
2020-02-24,128,61,67
2020-02-25,143,61,82
2020-02-26,135,61,74
2020-02-27,73,,73
2020-02-28,143,61,82
2020-02-29,78,,78
2020-03-01,126,61,65
2020-03-02,67,,67
2020-03-03,74,,74
2020-03-04,74,,74
2020-03-05,124,57,67
2020-03-06,66,,66
2020-03-07,60,,60
2020-03-08,63,,63
2020-03-09,67,,67
2020-03-10,129,63,66
2020-03-11,122,57,65
2020-03-12,58,,58
2020-03-13,58,,58
2020-03-14,63,,63
2020-03-15,126,59,67
2020-03-16,127,61,66
2020-03-17,117,57,60
2020-03-18,120,59,61
2020-03-19,115,57,58
2020-03-20,120,59,61
2020-03-21,57,,57
2020-03-22,63,,63
2020-03-23,120,57,63
2020-03-24,58,,58
2020-03-25,63,,63
2020-03-26,61,,61
2020-03-27,118,57,61
2020-03-28,,,
2020-03-29,114,57,57
2020-03-30,67,,67
2020-03-31,63,,63
2020-04-01,118,57,61
