日期,全部,pc,移动
2019-12-01,70,,70
2019-12-02,139,57,82
2019-12-03,135,59,76
2019-12-04,70,,70
2019-12-05,74,,74
2019-12-06,76,,76
2019-12-07,79,,79
2019-12-08,69,,69
2019-12-09,65,,65
2019-12-10,70,,70
2019-12-11,69,,69
2019-12-12,131,57,74
2019-12-13,67,,67
2019-12-14,67,,67
2019-12-15,63,,63
2019-12-16,70,,70
2019-12-17,128,57,71
2019-12-18,79,,79
2019-12-19,131,57,74
2019-12-20,61,,61
2019-12-21,135,57,78
2019-12-22,126,57,69
2019-12-23,70,,70
2019-12-24,122,57,65
2019-12-25,74,,74
2019-12-26,71,,71
2019-12-27,69,,69
2019-12-28,133,57,76
2019-12-29,71,,71
2019-12-30,80,,80
2019-12-31,128,57,71
2020-01-01,76,,76
2020-01-02,128,57,71
2020-01-03,118,57,61
2020-01-04,70,,70
2020-01-05,71,,71
2020-01-06,124,57,67
2020-01-07,58,,58
2020-01-08,67,,67
2020-01-09,65,,65
2020-01-10,61,,61
2020-01-11,60,,60
2020-01-12,74,,74
2020-01-13,61,,61
2020-01-14,127,57,70
2020-01-15,70,,70
2020-01-16,58,,58
2020-01-17,61,,61
2020-01-18,118,57,61
2020-01-19,126,59,67
2020-01-20,171,61,110
2020-01-21,557,112,445
2020-01-22,1187,212,975
2020-01-23,1932,239,1693
2020-01-24,1086,125,961
2020-01-25,1767,207,1560
2020-01-26,2044,229,1815
2020-01-27,1595,213,1382
2020-01-28,1359,257,1102
2020-01-29,1179,208,971
2020-01-30,1132,209,923
2020-01-31,1128,208,920
2020-02-01,1100,190,910
2020-02-02,1069,170,899
2020-02-03,1138,239,899
2020-02-04,1067,204,863
2020-02-05,1088,215,873
2020-02-06,1089,222,867
2020-02-07,1065,194,871
2020-02-08,1048,190,858
2020-02-09,1029,183,846
2020-02-10,1036,186,850
2020-02-11,961,175,786
2020-02-12,921,176,745
2020-02-13,973,168,805
2020-02-14,843,154,689
2020-02-15,819,166,653
2020-02-16,724,150,574
2020-02-17,752,152,600
2020-02-18,679,146,533
2020-02-19,757,137,620
2020-02-20,761,127,634
2020-02-21,685,142,543
2020-02-22,712,123,589
2020-02-23,744,131,613
2020-02-24,730,135,595
2020-02-25,775,129,646
2020-02-26,818,158,660
2020-02-27,821,157,664
2020-02-28,835,159,676
2020-02-29,731,114,617
2020-03-01,698,112,586
2020-03-02,685,142,543
2020-03-03,656,127,529
2020-03-04,599,116,483
2020-03-05,617,121,496
2020-03-06,564,110,454
2020-03-07,564,110,454
2020-03-08,488,95,393
2020-03-09,527,108,419
2020-03-10,596,102,494
2020-03-11,552,137,415
2020-03-12,479,114,365
2020-03-13,507,112,395
2020-03-14,461,82,379
2020-03-15,397,80,317
2020-03-16,409,106,303
2020-03-17,404,112,292
2020-03-18,412,104,308
2020-03-19,446,91,355
2020-03-20,430,123,307
2020-03-21,392,89,303
2020-03-22,325,61,264
2020-03-23,379,95,284
2020-03-24,337,80,257
2020-03-25,372,108,264
2020-03-26,303,74,229
2020-03-27,319,76,243
2020-03-28,286,74,212
2020-03-29,349,82,267
2020-03-30,339,82,257
2020-03-31,345,70,275
2020-04-01,311,80,231
