日期,全部,pc,移动
2019-12-01,57,57,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,57,57,
2020-01-09,,,
2020-01-10,61,61,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,57,
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,61,,61
2020-01-21,162,63,99
2020-01-22,252,70,182
2020-01-23,287,66,221
2020-01-24,214,59,155
2020-01-25,327,78,249
2020-01-26,337,85,252
2020-01-27,311,80,231
2020-01-28,290,82,208
2020-01-29,221,64,157
2020-01-30,221,63,158
2020-01-31,236,78,158
2020-02-01,237,70,167
2020-02-02,215,66,149
2020-02-03,215,66,149
2020-02-04,209,66,143
2020-02-05,203,78,125
2020-02-06,227,64,163
2020-02-07,218,66,152
2020-02-08,210,63,147
2020-02-09,211,63,148
2020-02-10,220,68,152
2020-02-11,183,64,119
2020-02-12,174,64,110
2020-02-13,177,68,109
2020-02-14,163,57,106
2020-02-15,176,61,115
2020-02-16,193,59,134
2020-02-17,189,63,126
2020-02-18,132,,132
2020-02-19,202,61,141
2020-02-20,147,,147
2020-02-21,171,59,112
2020-02-22,160,63,97
2020-02-23,158,59,99
2020-02-24,178,57,121
2020-02-25,198,59,139
2020-02-26,183,64,119
2020-02-27,189,68,121
2020-02-28,121,,121
2020-02-29,190,59,131
2020-03-01,157,57,100
2020-03-02,183,64,119
2020-03-03,156,61,95
2020-03-04,174,68,106
2020-03-05,150,57,93
2020-03-06,150,63,87
2020-03-07,149,63,86
2020-03-08,144,57,87
2020-03-09,152,59,93
2020-03-10,161,59,102
2020-03-11,143,63,80
2020-03-12,92,,92
2020-03-13,139,59,80
2020-03-14,143,57,86
2020-03-15,127,57,70
2020-03-16,135,61,74
2020-03-17,138,59,79
2020-03-18,71,,71
2020-03-19,135,57,78
2020-03-20,128,57,71
2020-03-21,67,,67
2020-03-22,61,,61
2020-03-23,133,57,76
2020-03-24,70,,70
2020-03-25,63,,63
2020-03-26,126,59,67
2020-03-27,129,63,66
2020-03-28,69,,69
2020-03-29,119,59,60
2020-03-30,128,61,67
2020-03-31,122,57,65
2020-04-01,69,,69
