日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,57,
2019-12-10,57,57,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,57,57,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,57,,57
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,131,57,74
2020-01-22,165,70,95
2020-01-23,158,61,97
2020-01-24,141,57,84
2020-01-25,175,66,109
2020-01-26,172,63,109
2020-01-27,163,63,100
2020-01-28,160,61,99
2020-01-29,80,,80
2020-01-30,137,59,78
2020-01-31,146,57,89
2020-02-01,155,63,92
2020-02-02,137,59,78
2020-02-03,142,59,83
2020-02-04,150,59,91
2020-02-05,154,70,84
2020-02-06,158,61,97
2020-02-07,132,59,73
2020-02-08,128,57,71
2020-02-09,141,61,80
2020-02-10,145,59,86
2020-02-11,125,59,66
2020-02-12,69,,69
2020-02-13,133,57,76
2020-02-14,74,,74
2020-02-15,130,61,69
2020-02-16,74,,74
2020-02-17,67,,67
2020-02-18,71,,71
2020-02-19,130,61,69
2020-02-20,65,,65
2020-02-21,130,59,71
2020-02-22,132,59,73
2020-02-23,123,57,66
2020-02-24,130,59,71
2020-02-25,128,61,67
2020-02-26,119,59,60
2020-02-27,61,61,
2020-02-28,124,59,65
2020-02-29,66,,66
2020-03-01,118,57,61
2020-03-02,60,,60
2020-03-03,117,57,60
2020-03-04,124,61,63
2020-03-05,61,,61
2020-03-06,126,61,65
2020-03-07,117,57,60
2020-03-08,121,63,58
2020-03-09,60,,60
2020-03-10,114,57,57
2020-03-11,115,57,58
2020-03-12,57,57,
2020-03-13,58,,58
2020-03-14,63,,63
2020-03-15,,,
2020-03-16,118,57,61
2020-03-17,67,,67
2020-03-18,120,59,61
2020-03-19,118,57,61
2020-03-20,60,,60
2020-03-21,115,57,58
2020-03-22,61,,61
2020-03-23,61,,61
2020-03-24,61,,61
2020-03-25,57,,57
2020-03-26,58,,58
2020-03-27,58,,58
2020-03-28,57,,57
2020-03-29,57,,57
2020-03-30,117,59,58
2020-03-31,57,,57
2020-04-01,61,,61
