日期,全部,pc,移动
2019-12-01,127,57,70
2019-12-02,114,57,57
2019-12-03,122,57,65
2019-12-04,120,57,63
2019-12-05,65,,65
2019-12-06,65,,65
2019-12-07,61,,61
2019-12-08,70,,70
2019-12-09,120,57,63
2019-12-10,58,,58
2019-12-11,60,,60
2019-12-12,69,,69
2019-12-13,58,,58
2019-12-14,,,
2019-12-15,65,,65
2019-12-16,61,,61
2019-12-17,57,,57
2019-12-18,,,
2019-12-19,,,
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,,,
2019-12-23,124,61,63
2019-12-24,120,57,63
2019-12-25,,,
2019-12-26,58,,58
2019-12-27,57,57,
2019-12-28,122,57,65
2019-12-29,61,,61
2019-12-30,58,,58
2019-12-31,58,,58
2020-01-01,,,
2020-01-02,,,
2020-01-03,57,,57
2020-01-04,,,
2020-01-05,61,,61
2020-01-06,,,
2020-01-07,61,,61
2020-01-08,122,59,63
2020-01-09,61,,61
2020-01-10,,,
2020-01-11,115,57,58
2020-01-12,63,,63
2020-01-13,,,
2020-01-14,61,,61
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,57,57,
2020-01-19,58,,58
2020-01-20,150,64,86
2020-01-21,406,129,277
2020-01-22,824,186,638
2020-01-23,1065,155,910
2020-01-24,906,127,779
2020-01-25,1003,152,851
2020-01-26,1069,155,914
2020-01-27,873,154,719
2020-01-28,765,148,617
2020-01-29,676,140,536
2020-01-30,599,146,453
2020-01-31,633,154,479
2020-02-01,631,163,468
2020-02-02,596,121,475
2020-02-03,602,154,448
2020-02-04,562,163,399
2020-02-05,596,159,437
2020-02-06,578,158,420
2020-02-07,590,140,450
2020-02-08,580,144,436
2020-02-09,563,140,423
2020-02-10,520,139,381
2020-02-11,548,125,423
2020-02-12,509,137,372
2020-02-13,534,158,376
2020-02-14,578,144,434
2020-02-15,474,101,373
2020-02-16,491,101,390
2020-02-17,492,123,369
2020-02-18,468,116,352
2020-02-19,468,142,326
2020-02-20,422,89,333
2020-02-21,442,121,321
2020-02-22,453,108,345
2020-02-23,458,89,369
2020-02-24,482,120,362
2020-02-25,539,114,425
2020-02-26,518,146,372
2020-02-27,474,118,356
2020-02-28,484,114,370
2020-02-29,475,110,365
2020-03-01,378,101,277
2020-03-02,376,114,262
2020-03-03,376,102,274
2020-03-04,357,87,270
2020-03-05,334,102,232
2020-03-06,335,116,219
2020-03-07,301,95,206
2020-03-08,278,85,193
2020-03-09,293,95,198
2020-03-10,303,99,204
2020-03-11,295,99,196
2020-03-12,282,99,183
2020-03-13,267,93,174
2020-03-14,252,82,170
2020-03-15,221,63,158
2020-03-16,262,91,171
2020-03-17,255,85,170
2020-03-18,262,108,154
2020-03-19,238,91,147
2020-03-20,247,85,162
2020-03-21,225,68,157
2020-03-22,206,59,147
2020-03-23,267,99,168
2020-03-24,240,66,174
2020-03-25,247,87,160
2020-03-26,280,87,193
2020-03-27,220,66,154
2020-03-28,228,68,160
2020-03-29,246,70,176
2020-03-30,290,76,214
2020-03-31,260,83,177
2020-04-01,248,72,176
