日期,全部,pc,移动
2019-12-01,76,,76
2019-12-02,66,,66
2019-12-03,65,,65
2019-12-04,70,,70
2019-12-05,67,,67
2019-12-06,124,57,67
2019-12-07,67,,67
2019-12-08,65,,65
2019-12-09,69,,69
2019-12-10,130,57,73
2019-12-11,74,,74
2019-12-12,69,,69
2019-12-13,67,,67
2019-12-14,124,57,67
2019-12-15,70,,70
2019-12-16,70,,70
2019-12-17,65,,65
2019-12-18,130,57,73
2019-12-19,79,,79
2019-12-20,71,,71
2019-12-21,70,,70
2019-12-22,76,,76
2019-12-23,70,,70
2019-12-24,126,61,65
2019-12-25,135,57,78
2019-12-26,70,,70
2019-12-27,70,,70
2019-12-28,66,,66
2019-12-29,73,,73
2019-12-30,133,57,76
2019-12-31,118,57,61
2020-01-01,65,,65
2020-01-02,63,,63
2020-01-03,120,57,63
2020-01-04,126,57,69
2020-01-05,69,,69
2020-01-06,63,,63
2020-01-07,69,,69
2020-01-08,118,57,61
2020-01-09,63,,63
2020-01-10,61,,61
2020-01-11,70,,70
2020-01-12,67,,67
2020-01-13,65,,65
2020-01-14,66,,66
2020-01-15,63,,63
2020-01-16,114,57,57
2020-01-17,71,,71
2020-01-18,69,,69
2020-01-19,65,,65
2020-01-20,210,72,138
2020-01-21,1079,184,895
2020-01-22,1643,215,1428
2020-01-23,2452,274,2178
2020-01-24,1202,135,1067
2020-01-25,1360,166,1194
2020-01-26,1987,166,1821
2020-01-27,2038,207,1831
2020-01-28,1899,234,1665
2020-01-29,1374,200,1174
2020-01-30,1345,198,1147
2020-01-31,1633,243,1390
2020-02-01,1516,237,1279
2020-02-02,1512,270,1242
2020-02-03,1335,233,1102
2020-02-04,1191,204,987
2020-02-05,1186,213,973
2020-02-06,1217,233,984
2020-02-07,1127,184,943
2020-02-08,1119,193,926
2020-02-09,1113,191,922
2020-02-10,1173,242,931
2020-02-11,1094,200,894
2020-02-12,1039,166,873
2020-02-13,1058,186,872
2020-02-14,1027,151,876
2020-02-15,1011,159,852
2020-02-16,877,146,731
2020-02-17,1031,182,849
2020-02-18,954,161,793
2020-02-19,1007,155,852
2020-02-20,1033,169,864
2020-02-21,1008,135,873
2020-02-22,1005,137,868
2020-02-23,971,116,855
2020-02-24,1020,162,858
2020-02-25,1020,168,852
2020-02-26,1034,183,851
2020-02-27,980,152,828
2020-02-28,1026,182,844
2020-02-29,955,139,816
2020-03-01,866,118,748
2020-03-02,930,165,765
2020-03-03,871,127,744
2020-03-04,787,129,658
2020-03-05,820,131,689
2020-03-06,838,135,703
2020-03-07,669,102,567
2020-03-08,641,85,556
2020-03-09,703,146,557
2020-03-10,724,131,593
2020-03-11,723,118,605
2020-03-12,636,112,524
2020-03-13,667,108,559
2020-03-14,578,87,491
2020-03-15,525,78,447
2020-03-16,524,110,414
2020-03-17,494,120,374
2020-03-18,517,129,388
2020-03-19,409,93,316
2020-03-20,422,102,320
2020-03-21,325,68,257
2020-03-22,348,59,289
2020-03-23,365,104,261
2020-03-24,325,70,255
2020-03-25,320,116,204
2020-03-26,326,80,246
2020-03-27,357,82,275
2020-03-28,331,78,253
2020-03-29,333,66,267
2020-03-30,360,106,254
2020-03-31,365,78,287
2020-04-01,373,95,278
