日期,全部,pc,移动
2019-12-01,65,,65
2019-12-02,128,61,67
2019-12-03,120,57,63
2019-12-04,130,57,73
2019-12-05,137,59,78
2019-12-06,69,,69
2019-12-07,67,,67
2019-12-08,123,57,66
2019-12-09,128,61,67
2019-12-10,141,61,80
2019-12-11,124,63,61
2019-12-12,124,61,63
2019-12-13,,,
2019-12-14,122,57,65
2019-12-15,61,,61
2019-12-16,128,61,67
2019-12-17,119,61,58
2019-12-18,121,61,60
2019-12-19,124,57,67
2019-12-20,63,,63
2019-12-21,118,57,61
2019-12-22,69,,69
2019-12-23,122,59,63
2019-12-24,66,,66
2019-12-25,130,61,69
2019-12-26,65,,65
2019-12-27,117,57,60
2019-12-28,71,,71
2019-12-29,67,,67
2019-12-30,70,,70
2019-12-31,127,57,70
2020-01-01,79,,79
2020-01-02,126,59,67
2020-01-03,65,,65
2020-01-04,126,57,69
2020-01-05,120,59,61
2020-01-06,66,,66
2020-01-07,122,57,65
2020-01-08,69,,69
2020-01-09,126,59,67
2020-01-10,126,59,67
2020-01-11,63,,63
2020-01-12,122,57,65
2020-01-13,61,,61
2020-01-14,126,57,69
2020-01-15,57,57,
2020-01-16,57,,57
2020-01-17,116,59,57
2020-01-18,57,,57
2020-01-19,153,70,83
2020-01-20,389,123,266
2020-01-21,1188,281,907
2020-01-22,1533,381,1152
2020-01-23,1882,394,1488
2020-01-24,1154,220,934
2020-01-25,1257,271,986
2020-01-26,1457,305,1152
2020-01-27,1425,352,1073
2020-01-28,1325,326,999
2020-01-29,1293,329,964
2020-01-30,1219,279,940
2020-01-31,1343,391,952
2020-02-01,1349,375,974
2020-02-02,1379,399,980
2020-02-03,1349,388,961
2020-02-04,1334,381,953
2020-02-05,1392,425,967
2020-02-06,1408,426,982
2020-02-07,1340,366,974
2020-02-08,1342,380,962
2020-02-09,1294,357,937
2020-02-10,1454,512,942
2020-02-11,1270,375,895
2020-02-12,1275,378,897
2020-02-13,1259,377,882
2020-02-14,1178,304,874
2020-02-15,1137,285,852
2020-02-16,1025,211,814
2020-02-17,1226,363,863
2020-02-18,1144,326,818
2020-02-19,1137,288,849
2020-02-20,1172,329,843
2020-02-21,1012,267,745
2020-02-22,939,231,708
2020-02-23,939,208,731
2020-02-24,995,257,738
2020-02-25,1084,282,802
2020-02-26,991,271,720
2020-02-27,992,273,719
2020-02-28,975,274,701
2020-02-29,921,220,701
2020-03-01,808,216,592
2020-03-02,831,239,592
2020-03-03,787,229,558
2020-03-04,791,253,538
2020-03-05,755,220,535
2020-03-06,750,222,528
2020-03-07,637,168,469
2020-03-08,643,150,493
2020-03-09,739,231,508
2020-03-10,685,188,497
2020-03-11,617,195,422
2020-03-12,668,223,445
2020-03-13,668,222,446
2020-03-14,594,161,433
2020-03-15,534,144,390
2020-03-16,571,220,351
2020-03-17,604,205,399
2020-03-18,573,213,360
2020-03-19,503,173,330
2020-03-20,559,182,377
2020-03-21,482,142,340
2020-03-22,417,68,349
2020-03-23,519,188,331
2020-03-24,523,163,360
2020-03-25,523,186,337
2020-03-26,495,151,344
2020-03-27,539,188,351
2020-03-28,468,133,335
2020-03-29,492,133,359
2020-03-30,528,183,345
2020-03-31,470,170,300
2020-04-01,441,159,282
