日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,61,,61
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,139,57,82
2020-01-22,211,76,135
2020-01-23,261,78,183
2020-01-24,187,64,123
2020-01-25,240,66,174
2020-01-26,244,64,180
2020-01-27,238,72,166
2020-01-28,246,70,176
2020-01-29,219,68,151
2020-01-30,221,72,149
2020-01-31,204,63,141
2020-02-01,244,76,168
2020-02-02,210,78,132
2020-02-03,208,76,132
2020-02-04,189,61,128
2020-02-05,176,63,113
2020-02-06,184,66,118
2020-02-07,196,66,130
2020-02-08,160,64,96
2020-02-09,176,64,112
2020-02-10,176,70,106
2020-02-11,159,57,102
2020-02-12,147,61,86
2020-02-13,181,68,113
2020-02-14,179,64,115
2020-02-15,145,61,84
2020-02-16,152,61,91
2020-02-17,156,61,95
2020-02-18,155,63,92
2020-02-19,136,66,70
2020-02-20,152,61,91
2020-02-21,145,59,86
2020-02-22,152,61,91
2020-02-23,89,,89
2020-02-24,145,59,86
2020-02-25,150,63,87
2020-02-26,137,59,78
2020-02-27,153,64,89
2020-02-28,147,68,79
2020-02-29,143,61,82
2020-03-01,78,,78
2020-03-02,155,64,91
2020-03-03,134,61,73
2020-03-04,130,59,71
2020-03-05,131,57,74
2020-03-06,126,57,69
2020-03-07,126,59,67
2020-03-08,69,,69
2020-03-09,139,59,80
2020-03-10,66,,66
2020-03-11,127,57,70
2020-03-12,66,,66
2020-03-13,63,,63
2020-03-14,69,,69
2020-03-15,122,59,63
2020-03-16,126,57,69
2020-03-17,120,57,63
2020-03-18,58,,58
2020-03-19,128,63,65
2020-03-20,120,57,63
2020-03-21,65,,65
2020-03-22,60,,60
2020-03-23,57,,57
2020-03-24,57,,57
2020-03-25,126,63,63
2020-03-26,114,57,57
2020-03-27,123,57,66
2020-03-28,60,,60
2020-03-29,65,,65
2020-03-30,117,57,60
2020-03-31,120,59,61
2020-04-01,65,,65
