日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,130,57,73
2020-01-22,202,74,128
2020-01-23,219,68,151
2020-01-24,171,63,108
2020-01-25,201,63,138
2020-01-26,192,61,131
2020-01-27,215,66,149
2020-01-28,198,68,130
2020-01-29,204,68,136
2020-01-30,240,72,168
2020-01-31,222,78,144
2020-02-01,189,68,121
2020-02-02,207,68,139
2020-02-03,170,66,104
2020-02-04,176,64,112
2020-02-05,165,63,102
2020-02-06,173,64,109
2020-02-07,161,59,102
2020-02-08,152,63,89
2020-02-09,154,57,97
2020-02-10,159,63,96
2020-02-11,159,57,102
2020-02-12,139,57,82
2020-02-13,146,57,89
2020-02-14,138,64,74
2020-02-15,142,64,78
2020-02-16,132,61,71
2020-02-17,143,59,84
2020-02-18,145,61,84
2020-02-19,154,63,91
2020-02-20,147,61,86
2020-02-21,153,57,96
2020-02-22,141,57,84
2020-02-23,138,59,79
2020-02-24,92,,92
2020-02-25,145,66,79
2020-02-26,150,70,80
2020-02-27,139,63,76
2020-02-28,151,64,87
2020-02-29,154,61,93
2020-03-01,143,64,79
2020-03-02,142,63,79
2020-03-03,73,,73
2020-03-04,130,59,71
2020-03-05,133,57,76
2020-03-06,139,63,76
2020-03-07,133,63,70
2020-03-08,128,61,67
2020-03-09,137,59,78
2020-03-10,65,,65
2020-03-11,120,57,63
2020-03-12,118,57,61
2020-03-13,60,,60
2020-03-14,120,57,63
2020-03-15,135,61,74
2020-03-16,119,59,60
2020-03-17,121,61,60
2020-03-18,130,61,69
2020-03-19,137,61,76
2020-03-20,126,63,63
2020-03-21,115,57,58
2020-03-22,67,,67
2020-03-23,60,,60
2020-03-24,122,61,61
2020-03-25,60,,60
2020-03-26,66,,66
2020-03-27,118,61,57
2020-03-28,,,
2020-03-29,63,,63
2020-03-30,118,61,57
2020-03-31,,,
2020-04-01,119,59,60
