日期,全部,pc,移动
2019-12-01,57,57,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,60,,60
2019-12-09,57,,57
2019-12-10,,,
2019-12-11,57,,57
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,58,,58
2019-12-17,57,,57
2019-12-18,57,,57
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,57,,57
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,58,,58
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,59,59,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,57,,57
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,57,,57
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,57,
2020-01-21,155,63,92
2020-01-22,231,68,163
2020-01-23,325,76,249
2020-01-24,224,70,154
2020-01-25,274,66,208
2020-01-26,285,68,217
2020-01-27,258,78,180
2020-01-28,278,80,198
2020-01-29,252,70,182
2020-01-30,247,82,165
2020-01-31,245,64,181
2020-02-01,229,74,155
2020-02-02,231,76,155
2020-02-03,213,70,143
2020-02-04,211,66,145
2020-02-05,193,68,125
2020-02-06,186,64,122
2020-02-07,192,70,122
2020-02-08,199,61,138
2020-02-09,205,64,141
2020-02-10,188,63,125
2020-02-11,170,61,109
2020-02-12,178,59,119
2020-02-13,168,66,102
2020-02-14,170,66,104
2020-02-15,154,61,93
2020-02-16,151,64,87
2020-02-17,182,64,118
2020-02-18,150,59,91
2020-02-19,137,57,80
2020-02-20,165,61,104
2020-02-21,155,63,92
2020-02-22,169,64,105
2020-02-23,154,57,97
2020-02-24,151,59,92
2020-02-25,166,61,105
2020-02-26,166,66,100
2020-02-27,181,63,118
2020-02-28,184,72,112
2020-02-29,156,59,97
2020-03-01,165,59,106
2020-03-02,169,59,110
2020-03-03,161,61,100
2020-03-04,167,59,108
2020-03-05,167,72,95
2020-03-06,157,68,89
2020-03-07,143,61,82
2020-03-08,152,57,95
2020-03-09,145,63,82
2020-03-10,180,61,119
2020-03-11,154,57,97
2020-03-12,156,61,95
2020-03-13,156,57,99
2020-03-14,148,57,91
2020-03-15,154,61,93
2020-03-16,79,,79
2020-03-17,137,61,76
2020-03-18,124,57,67
2020-03-19,83,,83
2020-03-20,128,57,71
2020-03-21,130,61,69
2020-03-22,127,57,70
2020-03-23,139,57,82
2020-03-24,125,59,66
2020-03-25,70,,70
2020-03-26,65,,65
2020-03-27,137,57,80
2020-03-28,70,,70
2020-03-29,129,59,70
2020-03-30,141,59,82
2020-03-31,123,57,66
2020-04-01,137,64,73
