日期,全部,pc,移动
2019-12-01,57,57,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,57,
2019-12-10,,,
2019-12-11,,,
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,57,57,
2019-12-17,,,
2019-12-18,,,
2019-12-19,60,,60
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,57,57,
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,,,
2019-12-31,61,61,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,57,57,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,64,64,
2020-01-21,240,101,139
2020-01-22,331,104,227
2020-01-23,442,125,317
2020-01-24,302,83,219
2020-01-25,311,99,212
2020-01-26,360,91,269
2020-01-27,321,87,234
2020-01-28,339,91,248
2020-01-29,307,95,212
2020-01-30,272,72,200
2020-01-31,300,95,205
2020-02-01,287,83,204
2020-02-02,329,104,225
2020-02-03,337,110,227
2020-02-04,299,106,193
2020-02-05,326,108,218
2020-02-06,377,120,257
2020-02-07,296,85,211
2020-02-08,288,101,187
2020-02-09,269,83,186
2020-02-10,283,104,179
2020-02-11,271,97,174
2020-02-12,253,85,168
2020-02-13,244,76,168
2020-02-14,258,82,176
2020-02-15,235,72,163
2020-02-16,219,72,147
2020-02-17,236,87,149
2020-02-18,224,76,148
2020-02-19,223,72,151
2020-02-20,229,72,157
2020-02-21,226,78,148
2020-02-22,240,80,160
2020-02-23,225,80,145
2020-02-24,198,70,128
2020-02-25,234,82,152
2020-02-26,183,64,119
2020-02-27,205,80,125
2020-02-28,182,61,121
2020-02-29,193,76,117
2020-03-01,178,66,112
2020-03-02,178,85,93
2020-03-03,164,64,100
2020-03-04,168,76,92
2020-03-05,162,63,99
2020-03-06,157,66,91
2020-03-07,179,66,113
2020-03-08,166,64,102
2020-03-09,168,72,96
2020-03-10,152,68,84
2020-03-11,154,68,86
2020-03-12,169,74,95
2020-03-13,159,72,87
2020-03-14,140,57,83
2020-03-15,145,61,84
2020-03-16,137,63,74
2020-03-17,168,76,92
2020-03-18,142,64,78
2020-03-19,139,63,76
2020-03-20,127,61,66
2020-03-21,132,59,73
2020-03-22,73,,73
2020-03-23,135,61,74
2020-03-24,142,64,78
2020-03-25,123,63,60
2020-03-26,134,61,73
2020-03-27,128,61,67
2020-03-28,128,57,71
2020-03-29,139,66,73
2020-03-30,145,66,79
2020-03-31,173,63,110
2020-04-01,70,,70
