日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,60,,60
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,57,,57
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,132,59,73
2020-01-22,159,57,102
2020-01-23,287,70,217
2020-01-24,183,57,126
2020-01-25,229,63,166
2020-01-26,251,66,185
2020-01-27,239,68,171
2020-01-28,225,76,149
2020-01-29,228,64,164
2020-01-30,178,57,121
2020-01-31,218,64,154
2020-02-01,218,63,155
2020-02-02,205,66,139
2020-02-03,145,,145
2020-02-04,183,64,119
2020-02-05,168,64,104
2020-02-06,171,61,110
2020-02-07,200,70,130
2020-02-08,180,61,119
2020-02-09,176,57,119
2020-02-10,180,68,112
2020-02-11,167,61,106
2020-02-12,158,61,97
2020-02-13,163,63,100
2020-02-14,154,63,91
2020-02-15,171,61,110
2020-02-16,168,66,102
2020-02-17,154,61,93
2020-02-18,96,,96
2020-02-19,155,64,91
2020-02-20,168,68,100
2020-02-21,95,,95
2020-02-22,155,59,96
2020-02-23,157,57,100
2020-02-24,137,57,80
2020-02-25,165,59,106
2020-02-26,97,,97
2020-02-27,91,,91
2020-02-28,150,61,89
2020-02-29,135,57,78
2020-03-01,84,,84
2020-03-02,140,57,83
2020-03-03,78,,78
2020-03-04,84,,84
2020-03-05,140,57,83
2020-03-06,78,,78
2020-03-07,82,,82
2020-03-08,142,64,78
2020-03-09,131,57,74
2020-03-10,76,,76
2020-03-11,67,,67
2020-03-12,67,,67
2020-03-13,128,57,71
2020-03-14,123,57,66
2020-03-15,73,,73
2020-03-16,128,59,69
2020-03-17,137,59,78
2020-03-18,133,59,74
2020-03-19,69,,69
2020-03-20,130,59,71
2020-03-21,70,,70
2020-03-22,69,,69
2020-03-23,135,61,74
2020-03-24,140,57,83
2020-03-25,126,57,69
2020-03-26,79,,79
2020-03-27,129,59,70
2020-03-28,74,,74
2020-03-29,67,,67
2020-03-30,150,59,91
2020-03-31,122,57,65
2020-04-01,78,,78
