日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,57,,57
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,57,,57
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,57,,57
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,58,,58
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,133,57,76
2020-01-22,215,74,141
2020-01-23,267,70,197
2020-01-24,233,70,163
2020-01-25,234,64,170
2020-01-26,260,80,180
2020-01-27,238,68,170
2020-01-28,212,74,138
2020-01-29,205,66,139
2020-01-30,176,66,110
2020-01-31,203,78,125
2020-02-01,205,74,131
2020-02-02,190,72,118
2020-02-03,198,68,130
2020-02-04,200,59,141
2020-02-05,183,68,115
2020-02-06,199,80,119
2020-02-07,171,59,112
2020-02-08,189,59,130
2020-02-09,197,66,131
2020-02-10,163,63,100
2020-02-11,168,68,100
2020-02-12,174,72,102
2020-02-13,154,59,95
2020-02-14,177,68,109
2020-02-15,163,59,104
2020-02-16,156,63,93
2020-02-17,150,61,89
2020-02-18,164,59,105
2020-02-19,147,61,86
2020-02-20,145,61,84
2020-02-21,181,66,115
2020-02-22,144,61,83
2020-02-23,165,59,106
2020-02-24,167,76,91
2020-02-25,157,61,96
2020-02-26,174,61,113
2020-02-27,149,63,86
2020-02-28,144,61,83
2020-02-29,172,64,108
2020-03-01,143,59,84
2020-03-02,154,59,95
2020-03-03,142,59,83
2020-03-04,158,66,92
2020-03-05,132,59,73
2020-03-06,127,57,70
2020-03-07,126,61,65
2020-03-08,130,57,73
2020-03-09,142,63,79
2020-03-10,70,,70
2020-03-11,126,61,65
2020-03-12,128,59,69
2020-03-13,126,59,67
2020-03-14,142,59,83
2020-03-15,78,,78
2020-03-16,126,59,67
2020-03-17,130,61,69
2020-03-18,126,57,69
2020-03-19,122,59,63
2020-03-20,118,57,61
2020-03-21,66,,66
2020-03-22,57,,57
2020-03-23,117,57,60
2020-03-24,,,
2020-03-25,57,,57
2020-03-26,122,57,65
2020-03-27,127,61,66
2020-03-28,65,,65
2020-03-29,57,57,
2020-03-30,126,59,67
2020-03-31,61,,61
2020-04-01,63,,63
