日期,全部,pc,移动
2019-12-01,,,
2019-12-02,60,,60
2019-12-03,,,
2019-12-04,57,57,
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,57,,57
2019-12-09,58,,58
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,57,,57
2019-12-17,57,,57
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,58,,58
2019-12-24,57,,57
2019-12-25,57,,57
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,60,,60
2019-12-29,58,,58
2019-12-30,57,,57
2019-12-31,,,
2020-01-01,57,,57
2020-01-02,,,
2020-01-03,58,,58
2020-01-04,,,
2020-01-05,,,
2020-01-06,58,,58
2020-01-07,,,
2020-01-08,57,,57
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,61,,61
2020-01-18,,,
2020-01-19,57,,57
2020-01-20,128,59,69
2020-01-21,200,61,139
2020-01-22,344,59,285
2020-01-23,485,83,402
2020-01-24,295,78,217
2020-01-25,530,82,448
2020-01-26,506,91,415
2020-01-27,416,85,331
2020-01-28,360,68,292
2020-01-29,330,78,252
2020-01-30,305,83,222
2020-01-31,295,93,202
2020-02-01,265,78,187
2020-02-02,250,70,180
2020-02-03,267,74,193
2020-02-04,233,70,163
2020-02-05,253,66,187
2020-02-06,252,70,182
2020-02-07,242,72,170
2020-02-08,241,61,180
2020-02-09,284,72,212
2020-02-10,245,68,177
2020-02-11,269,80,189
2020-02-12,246,72,174
2020-02-13,266,74,192
2020-02-14,233,63,170
2020-02-15,226,64,162
2020-02-16,195,64,131
2020-02-17,227,66,161
2020-02-18,219,61,158
2020-02-19,216,61,155
2020-02-20,212,64,148
2020-02-21,194,59,135
2020-02-22,202,63,139
2020-02-23,206,68,138
2020-02-24,215,66,149
2020-02-25,214,63,151
2020-02-26,232,64,168
2020-02-27,221,64,157
2020-02-28,195,61,134
2020-02-29,218,66,152
2020-03-01,212,57,155
2020-03-02,234,68,166
2020-03-03,206,61,145
2020-03-04,200,66,134
2020-03-05,194,64,130
2020-03-06,110,,110
2020-03-07,171,63,108
2020-03-08,172,57,115
2020-03-09,178,61,117
2020-03-10,169,61,108
2020-03-11,155,59,96
2020-03-12,165,57,108
2020-03-13,104,,104
2020-03-14,153,61,92
2020-03-15,150,61,89
2020-03-16,148,59,89
2020-03-17,156,59,97
2020-03-18,155,68,87
2020-03-19,86,,86
2020-03-20,130,59,71
2020-03-21,133,59,74
2020-03-22,73,,73
2020-03-23,78,,78
2020-03-24,137,63,74
2020-03-25,73,,73
2020-03-26,130,59,71
2020-03-27,76,,76
2020-03-28,70,,70
2020-03-29,129,59,70
2020-03-30,128,59,69
2020-03-31,138,59,79
2020-04-01,131,57,74
