日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,63,,63
2020-01-21,124,57,67
2020-01-22,156,61,95
2020-01-23,199,82,117
2020-01-24,158,66,92
2020-01-25,191,61,130
2020-01-26,225,78,147
2020-01-27,174,66,108
2020-01-28,163,61,102
2020-01-29,166,57,109
2020-01-30,176,64,112
2020-01-31,160,63,97
2020-02-01,158,59,99
2020-02-02,158,63,95
2020-02-03,167,68,99
2020-02-04,157,66,91
2020-02-05,158,63,95
2020-02-06,156,64,92
2020-02-07,144,57,87
2020-02-08,147,63,84
2020-02-09,148,66,82
2020-02-10,147,61,86
2020-02-11,148,61,87
2020-02-12,135,61,74
2020-02-13,150,64,86
2020-02-14,149,63,86
2020-02-15,133,64,69
2020-02-16,141,61,80
2020-02-17,135,61,74
2020-02-18,128,61,67
2020-02-19,128,59,69
2020-02-20,140,61,79
2020-02-21,140,61,79
2020-02-22,130,57,73
2020-02-23,70,,70
2020-02-24,139,63,76
2020-02-25,136,63,73
2020-02-26,144,61,83
2020-02-27,130,61,69
2020-02-28,80,,80
2020-02-29,138,59,79
2020-03-01,132,63,69
2020-03-02,124,57,67
2020-03-03,127,61,66
2020-03-04,124,59,65
2020-03-05,129,64,65
2020-03-06,58,,58
2020-03-07,128,57,71
2020-03-08,70,,70
2020-03-09,127,61,66
2020-03-10,127,57,70
2020-03-11,143,64,79
2020-03-12,126,61,65
2020-03-13,117,59,58
2020-03-14,117,57,60
2020-03-15,126,57,69
2020-03-16,63,,63
2020-03-17,65,,65
2020-03-18,63,,63
2020-03-19,122,57,65
2020-03-20,,,
2020-03-21,61,,61
2020-03-22,67,,67
2020-03-23,61,,61
2020-03-24,117,57,60
2020-03-25,116,59,57
2020-03-26,120,59,61
2020-03-27,60,,60
2020-03-28,57,,57
2020-03-29,115,57,58
2020-03-30,,,
2020-03-31,59,59,
2020-04-01,58,,58
