日期,全部,pc,移动
2019-12-01,58,,58
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,57,,57
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,58,,58
2019-12-26,,,
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,,,
2019-12-30,57,57,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,60,,60
2020-01-22,117,,117
2020-01-23,243,63,180
2020-01-24,185,57,128
2020-01-25,210,66,144
2020-01-26,226,68,158
2020-01-27,208,64,144
2020-01-28,172,63,109
2020-01-29,186,63,123
2020-01-30,163,63,100
2020-01-31,160,64,96
2020-02-01,169,61,108
2020-02-02,167,61,106
2020-02-03,173,61,112
2020-02-04,165,59,106
2020-02-05,172,72,100
2020-02-06,181,68,113
2020-02-07,158,66,92
2020-02-08,150,61,89
2020-02-09,160,63,97
2020-02-10,145,61,84
2020-02-11,89,,89
2020-02-12,141,63,78
2020-02-13,83,,83
2020-02-14,142,59,83
2020-02-15,143,63,80
2020-02-16,129,59,70
2020-02-17,146,57,89
2020-02-18,145,61,84
2020-02-19,146,63,83
2020-02-20,83,,83
2020-02-21,137,63,74
2020-02-22,137,57,80
2020-02-23,144,61,83
2020-02-24,79,,79
2020-02-25,152,59,93
2020-02-26,148,64,84
2020-02-27,134,63,71
2020-02-28,150,59,91
2020-02-29,157,57,100
2020-03-01,133,57,76
2020-03-02,142,66,76
2020-03-03,130,59,71
2020-03-04,129,59,70
2020-03-05,139,57,82
2020-03-06,65,,65
2020-03-07,117,59,58
2020-03-08,126,57,69
2020-03-09,130,59,71
2020-03-10,69,,69
2020-03-11,118,57,61
2020-03-12,79,,79
2020-03-13,120,57,63
2020-03-14,66,,66
2020-03-15,67,,67
2020-03-16,119,61,58
2020-03-17,60,,60
2020-03-18,130,61,69
2020-03-19,130,61,69
2020-03-20,124,59,65
2020-03-21,66,,66
2020-03-22,60,,60
2020-03-23,60,,60
2020-03-24,63,,63
2020-03-25,119,59,60
2020-03-26,118,57,61
2020-03-27,120,57,63
2020-03-28,,,
2020-03-29,61,,61
2020-03-30,61,,61
2020-03-31,,,
2020-04-01,57,,57
