日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,124,59,65
2020-01-22,157,57,100
2020-01-23,169,59,110
2020-01-24,95,,95
2020-01-25,146,57,89
2020-01-26,152,61,91
2020-01-27,133,57,76
2020-01-28,145,59,86
2020-01-29,148,61,87
2020-01-30,128,57,71
2020-01-31,133,59,74
2020-02-01,152,66,86
2020-02-02,139,59,80
2020-02-03,126,59,67
2020-02-04,125,59,66
2020-02-05,130,57,73
2020-02-06,138,59,79
2020-02-07,133,59,74
2020-02-08,123,57,66
2020-02-09,128,61,67
2020-02-10,124,57,67
2020-02-11,66,,66
2020-02-12,70,,70
2020-02-13,134,61,73
2020-02-14,129,59,70
2020-02-15,66,,66
2020-02-16,132,59,73
2020-02-17,125,59,66
2020-02-18,127,57,70
2020-02-19,73,,73
2020-02-20,126,59,67
2020-02-21,125,59,66
2020-02-22,67,,67
2020-02-23,66,,66
2020-02-24,65,,65
2020-02-25,78,,78
2020-02-26,78,,78
2020-02-27,74,,74
2020-02-28,69,,69
2020-02-29,82,,82
2020-03-01,82,,82
2020-03-02,126,59,67
2020-03-03,128,59,69
2020-03-04,63,,63
2020-03-05,66,,66
2020-03-06,117,57,60
2020-03-07,115,57,58
2020-03-08,117,57,60
2020-03-09,118,57,61
2020-03-10,123,57,66
2020-03-11,118,57,61
2020-03-12,63,,63
2020-03-13,122,61,61
2020-03-14,118,57,61
2020-03-15,58,,58
2020-03-16,57,,57
2020-03-17,61,,61
2020-03-18,115,57,58
2020-03-19,61,,61
2020-03-20,,,
2020-03-21,58,,58
2020-03-22,58,,58
2020-03-23,57,57,
2020-03-24,60,,60
2020-03-25,59,59,
2020-03-26,57,,57
2020-03-27,117,59,58
2020-03-28,,,
2020-03-29,58,,58
2020-03-30,120,57,63
2020-03-31,,,
2020-04-01,57,,57
