日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,57,
2019-12-03,57,,57
2019-12-04,,,
2019-12-05,,,
2019-12-06,57,,57
2019-12-07,,,
2019-12-08,60,,60
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,57,,57
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,57,,57
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,82,,82
2020-01-22,198,59,139
2020-01-23,274,68,206
2020-01-24,143,,143
2020-01-25,252,70,182
2020-01-26,252,66,186
2020-01-27,249,70,179
2020-01-28,249,72,177
2020-01-29,226,68,158
2020-01-30,208,64,144
2020-01-31,211,63,148
2020-02-01,217,59,158
2020-02-02,178,66,112
2020-02-03,193,63,130
2020-02-04,207,63,144
2020-02-05,139,,139
2020-02-06,131,,131
2020-02-07,169,59,110
2020-02-08,185,63,122
2020-02-09,191,66,125
2020-02-10,192,70,122
2020-02-11,157,57,100
2020-02-12,150,57,93
2020-02-13,93,,93
2020-02-14,159,57,102
2020-02-15,158,59,99
2020-02-16,159,57,102
2020-02-17,153,57,96
2020-02-18,137,63,74
2020-02-19,172,57,115
2020-02-20,152,59,93
2020-02-21,172,63,109
2020-02-22,187,64,123
2020-02-23,161,59,102
2020-02-24,167,59,108
2020-02-25,201,57,144
2020-02-26,208,59,149
2020-02-27,208,57,151
2020-02-28,149,,149
2020-02-29,169,59,110
2020-03-01,172,66,106
2020-03-02,159,57,102
2020-03-03,152,59,93
2020-03-04,149,57,92
2020-03-05,152,61,91
2020-03-06,132,59,73
2020-03-07,141,59,82
2020-03-08,128,57,71
2020-03-09,129,59,70
2020-03-10,131,61,70
2020-03-11,127,57,70
2020-03-12,133,59,74
2020-03-13,76,,76
2020-03-14,70,,70
2020-03-15,69,,69
2020-03-16,79,,79
2020-03-17,78,,78
2020-03-18,142,64,78
2020-03-19,126,59,67
2020-03-20,70,,70
2020-03-21,120,57,63
2020-03-22,61,,61
2020-03-23,122,59,63
2020-03-24,61,,61
2020-03-25,139,59,80
2020-03-26,57,,57
2020-03-27,66,,66
2020-03-28,65,,65
2020-03-29,58,,58
2020-03-30,58,,58
2020-03-31,122,57,65
2020-04-01,61,,61
