日期,全部,pc,移动
2019-12-01,57,,57
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,57,,57
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,57,,57
2019-12-15,,,
2019-12-16,58,,58
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,58,,58
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,57,,57
2019-12-28,57,,57
2019-12-29,57,57,
2019-12-30,114,57,57
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,116,59,57
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,57,57,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,139,61,78
2020-01-22,253,70,183
2020-01-23,307,82,225
2020-01-24,240,70,170
2020-01-25,263,70,193
2020-01-26,307,85,222
2020-01-27,252,70,182
2020-01-28,243,64,179
2020-01-29,233,82,151
2020-01-30,213,68,145
2020-01-31,204,72,132
2020-02-01,225,74,151
2020-02-02,191,66,125
2020-02-03,203,78,125
2020-02-04,179,74,105
2020-02-05,184,66,118
2020-02-06,179,64,115
2020-02-07,168,64,104
2020-02-08,191,76,115
2020-02-09,176,59,117
2020-02-10,160,64,96
2020-02-11,163,63,100
2020-02-12,189,64,125
2020-02-13,179,64,115
2020-02-14,209,68,141
2020-02-15,170,64,106
2020-02-16,174,64,110
2020-02-17,164,59,105
2020-02-18,173,61,112
2020-02-19,190,59,131
2020-02-20,195,61,134
2020-02-21,194,64,130
2020-02-22,200,68,132
2020-02-23,182,59,123
2020-02-24,222,68,154
2020-02-25,217,63,154
2020-02-26,233,72,161
2020-02-27,225,68,157
2020-02-28,224,64,160
2020-02-29,212,61,151
2020-03-01,182,74,108
2020-03-02,204,78,126
2020-03-03,186,61,125
2020-03-04,176,68,108
2020-03-05,170,70,100
2020-03-06,153,61,92
2020-03-07,154,68,86
2020-03-08,140,57,83
2020-03-09,143,59,84
2020-03-10,154,59,95
2020-03-11,135,59,76
2020-03-12,135,57,78
2020-03-13,129,59,70
2020-03-14,130,59,71
2020-03-15,76,,76
2020-03-16,130,57,73
2020-03-17,139,59,80
2020-03-18,137,63,74
2020-03-19,71,,71
2020-03-20,139,63,76
2020-03-21,119,59,60
2020-03-22,61,,61
2020-03-23,125,59,66
2020-03-24,128,59,69
2020-03-25,114,57,57
2020-03-26,124,61,63
2020-03-27,66,,66
2020-03-28,67,,67
2020-03-29,126,57,69
2020-03-30,65,,65
2020-03-31,118,57,61
2020-04-01,73,,73
