日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,57,57,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,57,57,
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,,57
2020-01-21,156,63,93
2020-01-22,189,70,119
2020-01-23,238,68,170
2020-01-24,234,80,154
2020-01-25,219,64,155
2020-01-26,259,72,187
2020-01-27,232,74,158
2020-01-28,218,74,144
2020-01-29,202,74,128
2020-01-30,194,68,126
2020-01-31,207,76,131
2020-02-01,211,63,148
2020-02-02,196,64,132
2020-02-03,203,72,131
2020-02-04,212,76,136
2020-02-05,219,64,155
2020-02-06,198,66,132
2020-02-07,199,64,135
2020-02-08,185,72,113
2020-02-09,176,61,115
2020-02-10,176,68,108
2020-02-11,180,59,121
2020-02-12,160,64,96
2020-02-13,174,74,100
2020-02-14,164,59,105
2020-02-15,182,57,125
2020-02-16,155,59,96
2020-02-17,158,59,99
2020-02-18,149,63,86
2020-02-19,172,72,100
2020-02-20,150,57,93
2020-02-21,154,59,95
2020-02-22,148,59,89
2020-02-23,161,61,100
2020-02-24,170,61,109
2020-02-25,150,63,87
2020-02-26,154,63,91
2020-02-27,163,61,102
2020-02-28,158,66,92
2020-02-29,154,59,95
2020-03-01,151,59,92
2020-03-02,159,63,96
2020-03-03,86,,86
2020-03-04,146,64,82
2020-03-05,137,59,78
2020-03-06,140,66,74
2020-03-07,146,64,82
2020-03-08,65,,65
2020-03-09,151,59,92
2020-03-10,140,61,79
2020-03-11,128,61,67
2020-03-12,63,,63
2020-03-13,136,57,79
2020-03-14,69,,69
2020-03-15,74,,74
2020-03-16,126,59,67
2020-03-17,131,61,70
2020-03-18,131,61,70
2020-03-19,132,66,66
2020-03-20,126,63,63
2020-03-21,126,59,67
2020-03-22,70,,70
2020-03-23,66,,66
2020-03-24,63,,63
2020-03-25,132,66,66
2020-03-26,,,
2020-03-27,118,57,61
2020-03-28,65,,65
2020-03-29,117,57,60
2020-03-30,124,59,65
2020-03-31,69,,69
2020-04-01,120,57,63
