日期,全部,pc,移动
2019-12-01,65,,65
2019-12-02,133,57,76
2019-12-03,128,59,69
2019-12-04,128,63,65
2019-12-05,128,59,69
2019-12-06,65,,65
2019-12-07,65,,65
2019-12-08,65,,65
2019-12-09,122,57,65
2019-12-10,67,,67
2019-12-11,133,59,74
2019-12-12,123,57,66
2019-12-13,58,,58
2019-12-14,117,57,60
2019-12-15,67,,67
2019-12-16,124,59,65
2019-12-17,120,59,61
2019-12-18,129,59,70
2019-12-19,127,57,70
2019-12-20,134,61,73
2019-12-21,131,57,74
2019-12-22,133,57,76
2019-12-23,67,,67
2019-12-24,126,57,69
2019-12-25,127,57,70
2019-12-26,125,59,66
2019-12-27,126,59,67
2019-12-28,70,,70
2019-12-29,67,,67
2019-12-30,128,57,71
2019-12-31,126,61,65
2020-01-01,73,,73
2020-01-02,129,59,70
2020-01-03,122,59,63
2020-01-04,127,61,66
2020-01-05,117,59,58
2020-01-06,123,57,66
2020-01-07,66,,66
2020-01-08,128,59,69
2020-01-09,115,57,58
2020-01-10,120,57,63
2020-01-11,123,57,66
2020-01-12,60,,60
2020-01-13,130,57,73
2020-01-14,61,,61
2020-01-15,61,,61
2020-01-16,117,57,60
2020-01-17,63,,63
2020-01-18,122,57,65
2020-01-19,132,66,66
2020-01-20,375,129,246
2020-01-21,1196,307,889
2020-01-22,1724,454,1270
2020-01-23,2048,392,1656
2020-01-24,1264,267,997
2020-01-25,1092,197,895
2020-01-26,1163,231,932
2020-01-27,1132,225,907
2020-01-28,1100,212,888
2020-01-29,1100,242,858
2020-01-30,1135,259,876
2020-01-31,1110,243,867
2020-02-01,1073,216,857
2020-02-02,1119,248,871
2020-02-03,1187,323,864
2020-02-04,1082,242,840
2020-02-05,1107,293,814
2020-02-06,1110,264,846
2020-02-07,1123,273,850
2020-02-08,1090,257,833
2020-02-09,910,211,699
2020-02-10,926,257,669
2020-02-11,970,276,694
2020-02-12,899,216,683
2020-02-13,934,245,689
2020-02-14,951,213,738
2020-02-15,874,208,666
2020-02-16,782,191,591
2020-02-17,822,233,589
2020-02-18,801,216,585
2020-02-19,795,211,584
2020-02-20,771,207,564
2020-02-21,865,234,631
2020-02-22,776,197,579
2020-02-23,782,176,606
2020-02-24,921,296,625
2020-02-25,897,247,650
2020-02-26,982,288,694
2020-02-27,868,278,590
2020-02-28,886,288,598
2020-02-29,858,234,624
2020-03-01,701,175,526
2020-03-02,744,265,479
2020-03-03,680,198,482
2020-03-04,711,228,483
2020-03-05,624,197,427
2020-03-06,562,201,361
2020-03-07,500,169,331
2020-03-08,488,137,351
2020-03-09,642,233,409
2020-03-10,598,236,362
2020-03-11,539,215,324
2020-03-12,541,180,361
2020-03-13,557,188,369
2020-03-14,461,131,330
2020-03-15,475,158,317
2020-03-16,538,204,334
2020-03-17,525,215,310
2020-03-18,526,223,303
2020-03-19,488,172,316
2020-03-20,486,218,268
2020-03-21,407,120,287
2020-03-22,323,74,249
2020-03-23,503,225,278
2020-03-24,401,159,242
2020-03-25,453,197,256
2020-03-26,400,173,227
2020-03-27,410,144,266
2020-03-28,336,97,239
2020-03-29,408,116,292
2020-03-30,501,220,281
2020-03-31,434,163,271
2020-04-01,434,161,273
