日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,57,,57
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,57,
2019-12-19,,,
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,58,,58
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,57,
2020-01-01,58,,58
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,57,,57
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,57,57,
2020-01-20,61,,61
2020-01-21,196,68,128
2020-01-22,252,68,184
2020-01-23,346,89,257
2020-01-24,269,74,195
2020-01-25,304,76,228
2020-01-26,305,66,239
2020-01-27,306,82,224
2020-01-28,304,82,222
2020-01-29,263,74,189
2020-01-30,281,70,211
2020-01-31,289,91,198
2020-02-01,250,74,176
2020-02-02,233,68,165
2020-02-03,217,66,151
2020-02-04,204,68,136
2020-02-05,220,68,152
2020-02-06,259,76,183
2020-02-07,235,70,165
2020-02-08,211,68,143
2020-02-09,231,66,165
2020-02-10,226,72,154
2020-02-11,214,70,144
2020-02-12,180,57,123
2020-02-13,185,63,122
2020-02-14,180,57,123
2020-02-15,178,70,108
2020-02-16,177,64,113
2020-02-17,161,70,91
2020-02-18,184,63,121
2020-02-19,212,76,136
2020-02-20,169,63,106
2020-02-21,154,59,95
2020-02-22,169,59,110
2020-02-23,165,66,99
2020-02-24,186,76,110
2020-02-25,173,61,112
2020-02-26,160,64,96
2020-02-27,178,61,117
2020-02-28,170,64,106
2020-02-29,113,,113
2020-03-01,162,66,96
2020-03-02,158,59,99
2020-03-03,141,59,82
2020-03-04,137,57,80
2020-03-05,132,61,71
2020-03-06,143,59,84
2020-03-07,143,57,86
2020-03-08,136,57,79
2020-03-09,140,64,76
2020-03-10,79,,79
2020-03-11,138,59,79
2020-03-12,130,59,71
2020-03-13,127,57,70
2020-03-14,91,,91
2020-03-15,130,57,73
2020-03-16,120,57,63
2020-03-17,122,57,65
2020-03-18,123,57,66
2020-03-19,120,59,61
2020-03-20,123,57,66
2020-03-21,130,57,73
2020-03-22,61,,61
2020-03-23,124,57,67
2020-03-24,66,,66
2020-03-25,126,61,65
2020-03-26,59,59,
2020-03-27,125,64,61
2020-03-28,70,,70
2020-03-29,67,,67
2020-03-30,130,59,71
2020-03-31,69,,69
2020-04-01,127,57,70
