日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,58,,58
2019-12-07,,,
2019-12-08,,,
2019-12-09,57,,57
2019-12-10,57,57,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,60,,60
2020-01-21,147,61,86
2020-01-22,213,68,145
2020-01-23,241,74,167
2020-01-24,182,70,112
2020-01-25,249,64,185
2020-01-26,281,76,205
2020-01-27,298,74,224
2020-01-28,265,68,197
2020-01-29,255,66,189
2020-01-30,213,72,141
2020-01-31,231,76,155
2020-02-01,230,83,147
2020-02-02,219,70,149
2020-02-03,211,70,141
2020-02-04,184,66,118
2020-02-05,186,64,122
2020-02-06,185,63,122
2020-02-07,227,76,151
2020-02-08,192,66,126
2020-02-09,217,63,154
2020-02-10,195,64,131
2020-02-11,182,64,118
2020-02-12,182,64,118
2020-02-13,168,64,104
2020-02-14,175,63,112
2020-02-15,149,57,92
2020-02-16,162,63,99
2020-02-17,155,68,87
2020-02-18,160,63,97
2020-02-19,175,63,112
2020-02-20,143,59,84
2020-02-21,173,68,105
2020-02-22,182,63,119
2020-02-23,161,57,104
2020-02-24,172,57,115
2020-02-25,195,72,123
2020-02-26,176,59,117
2020-02-27,189,64,125
2020-02-28,170,64,106
2020-02-29,177,59,118
2020-03-01,166,61,105
2020-03-02,155,59,96
2020-03-03,155,63,92
2020-03-04,161,57,104
2020-03-05,149,66,83
2020-03-06,148,57,91
2020-03-07,143,57,86
2020-03-08,143,61,82
2020-03-09,137,57,80
2020-03-10,148,66,82
2020-03-11,143,61,82
2020-03-12,71,,71
2020-03-13,135,59,76
2020-03-14,141,63,78
2020-03-15,86,,86
2020-03-16,135,61,74
2020-03-17,127,57,70
2020-03-18,129,59,70
2020-03-19,132,59,73
2020-03-20,74,,74
2020-03-21,120,57,63
2020-03-22,69,,69
2020-03-23,127,57,70
2020-03-24,128,57,71
2020-03-25,69,,69
2020-03-26,130,59,71
2020-03-27,69,,69
2020-03-28,74,,74
2020-03-29,150,57,93
2020-03-30,70,,70
2020-03-31,135,57,78
2020-04-01,74,,74
