日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,57,,57
2019-12-05,,,
2019-12-06,58,,58
2019-12-07,,,
2019-12-08,58,,58
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,57,,57
2019-12-14,,,
2019-12-15,57,,57
2019-12-16,,,
2019-12-17,,,
2019-12-18,57,,57
2019-12-19,58,,58
2019-12-20,,,
2019-12-21,,,
2019-12-22,58,,58
2019-12-23,57,,57
2019-12-24,57,57,
2019-12-25,57,,57
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,58,,58
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,59,59,
2020-01-21,191,57,134
2020-01-22,278,64,214
2020-01-23,377,63,314
2020-01-24,256,63,193
2020-01-25,264,63,201
2020-01-26,356,64,292
2020-01-27,419,63,356
2020-01-28,353,61,292
2020-01-29,269,63,206
2020-01-30,265,63,202
2020-01-31,318,72,246
2020-02-01,304,76,228
2020-02-02,274,66,208
2020-02-03,251,68,183
2020-02-04,257,68,189
2020-02-05,240,66,174
2020-02-06,225,74,151
2020-02-07,231,61,170
2020-02-08,210,66,144
2020-02-09,226,63,163
2020-02-10,231,61,170
2020-02-11,207,63,144
2020-02-12,203,59,144
2020-02-13,200,61,139
2020-02-14,223,59,164
2020-02-15,196,61,135
2020-02-16,178,59,119
2020-02-17,184,61,123
2020-02-18,187,59,128
2020-02-19,193,57,136
2020-02-20,213,61,152
2020-02-21,200,59,141
2020-02-22,211,59,152
2020-02-23,213,59,154
2020-02-24,181,63,118
2020-02-25,209,61,148
2020-02-26,194,64,130
2020-02-27,178,59,119
2020-02-28,213,64,149
2020-02-29,184,61,123
2020-03-01,172,63,109
2020-03-02,197,66,131
2020-03-03,205,57,148
2020-03-04,180,59,121
2020-03-05,135,,135
2020-03-06,203,59,144
2020-03-07,162,57,105
2020-03-08,181,59,122
2020-03-09,161,59,102
2020-03-10,183,57,126
2020-03-11,189,57,132
2020-03-12,169,61,108
2020-03-13,168,64,104
2020-03-14,167,57,110
2020-03-15,99,,99
2020-03-16,149,57,92
2020-03-17,161,59,102
2020-03-18,146,57,89
2020-03-19,146,57,89
2020-03-20,80,,80
2020-03-21,80,,80
2020-03-22,73,,73
2020-03-23,128,57,71
2020-03-24,71,,71
2020-03-25,128,61,67
2020-03-26,131,57,74
2020-03-27,148,57,91
2020-03-28,140,61,79
2020-03-29,87,,87
2020-03-30,84,,84
2020-03-31,76,,76
2020-04-01,141,57,84
