日期,全部,pc,移动
2019-12-01,,,
2019-12-02,57,,57
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,57,,57
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,58,,58
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,58,,58
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,57,,57
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,57,,57
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,117,59,58
2020-01-21,166,57,109
2020-01-22,247,68,179
2020-01-23,280,66,214
2020-01-24,235,57,178
2020-01-25,232,61,171
2020-01-26,251,59,192
2020-01-27,233,59,174
2020-01-28,222,61,161
2020-01-29,215,63,152
2020-01-30,228,64,164
2020-01-31,148,,148
2020-02-01,191,59,132
2020-02-02,175,57,118
2020-02-03,183,70,113
2020-02-04,180,61,119
2020-02-05,169,61,108
2020-02-06,176,63,113
2020-02-07,102,,102
2020-02-08,161,59,102
2020-02-09,170,61,109
2020-02-10,155,59,96
2020-02-11,156,59,97
2020-02-12,152,63,89
2020-02-13,139,59,80
2020-02-14,153,57,96
2020-02-15,150,59,91
2020-02-16,146,57,89
2020-02-17,143,57,86
2020-02-18,140,57,83
2020-02-19,163,59,104
2020-02-20,161,57,104
2020-02-21,148,57,91
2020-02-22,135,57,78
2020-02-23,80,,80
2020-02-24,79,,79
2020-02-25,73,,73
2020-02-26,80,,80
2020-02-27,129,59,70
2020-02-28,128,57,71
2020-02-29,80,,80
2020-03-01,139,59,80
2020-03-02,154,63,91
2020-03-03,141,59,82
2020-03-04,152,63,89
2020-03-05,92,,92
2020-03-06,140,57,83
2020-03-07,141,59,82
2020-03-08,66,,66
2020-03-09,145,61,84
2020-03-10,140,61,79
2020-03-11,137,59,78
2020-03-12,139,57,82
2020-03-13,137,59,78
2020-03-14,136,57,79
2020-03-15,153,61,92
2020-03-16,146,59,87
2020-03-17,76,,76
2020-03-18,144,68,76
2020-03-19,141,57,84
2020-03-20,141,59,82
2020-03-21,80,,80
2020-03-22,74,,74
2020-03-23,136,57,79
2020-03-24,126,59,67
2020-03-25,137,63,74
2020-03-26,142,59,83
2020-03-27,137,57,80
2020-03-28,158,59,99
2020-03-29,92,,92
2020-03-30,84,,84
2020-03-31,136,57,79
2020-04-01,76,,76
