日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,58,,58
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,59,59,
2019-12-25,,,
2019-12-26,,,
2019-12-27,57,,57
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,57,,57
2020-01-18,,,
2020-01-19,,,
2020-01-20,57,57,
2020-01-21,161,61,100
2020-01-22,241,74,167
2020-01-23,321,82,239
2020-01-24,219,59,160
2020-01-25,210,63,147
2020-01-26,262,64,198
2020-01-27,317,82,235
2020-01-28,289,74,215
2020-01-29,207,63,144
2020-01-30,217,63,154
2020-01-31,219,64,155
2020-02-01,252,63,189
2020-02-02,251,80,171
2020-02-03,243,66,177
2020-02-04,213,68,145
2020-02-05,204,70,134
2020-02-06,206,59,147
2020-02-07,202,57,145
2020-02-08,173,64,109
2020-02-09,171,59,112
2020-02-10,183,61,122
2020-02-11,187,68,119
2020-02-12,180,59,121
2020-02-13,202,68,134
2020-02-14,163,59,104
2020-02-15,173,64,109
2020-02-16,160,61,99
2020-02-17,146,57,89
2020-02-18,153,61,92
2020-02-19,176,64,112
2020-02-20,169,63,106
2020-02-21,163,63,100
2020-02-22,161,61,100
2020-02-23,157,61,96
2020-02-24,152,61,91
2020-02-25,163,63,100
2020-02-26,155,59,96
2020-02-27,150,63,87
2020-02-28,163,76,87
2020-02-29,92,,92
2020-03-01,152,59,93
2020-03-02,154,59,95
2020-03-03,165,63,102
2020-03-04,84,,84
2020-03-05,154,63,91
2020-03-06,154,63,91
2020-03-07,70,,70
2020-03-08,82,,82
2020-03-09,141,59,82
2020-03-10,128,59,69
2020-03-11,137,61,76
2020-03-12,141,57,84
2020-03-13,141,63,78
2020-03-14,131,57,74
2020-03-15,133,57,76
2020-03-16,130,57,73
2020-03-17,131,57,74
2020-03-18,82,,82
2020-03-19,71,,71
2020-03-20,69,,69
2020-03-21,65,,65
2020-03-22,63,,63
2020-03-23,126,61,65
2020-03-24,123,57,66
2020-03-25,122,57,65
2020-03-26,67,,67
2020-03-27,70,,70
2020-03-28,132,63,69
2020-03-29,129,59,70
2020-03-30,119,61,58
2020-03-31,122,57,65
2020-04-01,122,57,65
