日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,60,,60
2019-12-18,60,,60
2019-12-19,58,,58
2019-12-20,57,,57
2019-12-21,57,,57
2019-12-22,,,
2019-12-23,,,
2019-12-24,57,57,
2019-12-25,,,
2019-12-26,57,,57
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,57,57,
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,58,,58
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,57,,57
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,57,57,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,122,57,65
2020-01-21,192,61,131
2020-01-22,336,82,254
2020-01-23,487,78,409
2020-01-24,339,83,256
2020-01-25,386,66,320
2020-01-26,337,70,267
2020-01-27,334,80,254
2020-01-28,283,85,198
2020-01-29,261,80,181
2020-01-30,266,64,202
2020-01-31,271,82,189
2020-02-01,254,68,186
2020-02-02,265,83,182
2020-02-03,245,82,163
2020-02-04,223,72,151
2020-02-05,228,66,162
2020-02-06,266,80,186
2020-02-07,238,68,170
2020-02-08,213,66,147
2020-02-09,213,70,143
2020-02-10,257,72,185
2020-02-11,250,70,180
2020-02-12,239,76,163
2020-02-13,219,70,149
2020-02-14,253,83,170
2020-02-15,205,70,135
2020-02-16,205,64,141
2020-02-17,206,72,134
2020-02-18,198,66,132
2020-02-19,197,61,136
2020-02-20,189,70,119
2020-02-21,194,64,130
2020-02-22,192,61,131
2020-02-23,183,57,126
2020-02-24,202,70,132
2020-02-25,164,64,100
2020-02-26,198,66,132
2020-02-27,182,64,118
2020-02-28,193,76,117
2020-02-29,182,61,121
2020-03-01,191,59,132
2020-03-02,187,68,119
2020-03-03,147,63,84
2020-03-04,153,64,89
2020-03-05,153,64,89
2020-03-06,154,61,93
2020-03-07,146,59,87
2020-03-08,147,61,86
2020-03-09,178,61,117
2020-03-10,146,57,89
2020-03-11,122,57,65
2020-03-12,123,57,66
2020-03-13,138,59,79
2020-03-14,82,,82
2020-03-15,74,,74
2020-03-16,134,61,73
2020-03-17,135,64,71
2020-03-18,124,57,67
2020-03-19,69,,69
2020-03-20,65,,65
2020-03-21,128,61,67
2020-03-22,69,,69
2020-03-23,130,57,73
2020-03-24,69,,69
2020-03-25,119,59,60
2020-03-26,73,,73
2020-03-27,128,59,69
2020-03-28,69,,69
2020-03-29,134,61,73
2020-03-30,135,64,71
2020-03-31,122,57,65
2020-04-01,126,57,69
