日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,57,,57
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,152,59,93
2020-01-22,251,64,187
2020-01-23,283,63,220
2020-01-24,243,63,180
2020-01-25,283,61,222
2020-01-26,263,61,202
2020-01-27,222,59,163
2020-01-28,234,70,164
2020-01-29,121,,121
2020-01-30,199,61,138
2020-01-31,214,66,148
2020-02-01,202,59,143
2020-02-02,199,61,138
2020-02-03,178,61,117
2020-02-04,211,64,147
2020-02-05,202,57,145
2020-02-06,201,70,131
2020-02-07,212,61,151
2020-02-08,185,59,126
2020-02-09,176,59,117
2020-02-10,175,63,112
2020-02-11,180,63,117
2020-02-12,175,63,112
2020-02-13,115,,115
2020-02-14,182,61,121
2020-02-15,160,61,99
2020-02-16,82,,82
2020-02-17,152,59,93
2020-02-18,171,61,110
2020-02-19,163,61,102
2020-02-20,156,59,97
2020-02-21,139,57,82
2020-02-22,79,,79
2020-02-23,76,,76
2020-02-24,139,59,80
2020-02-25,133,57,76
2020-02-26,139,57,82
2020-02-27,141,59,82
2020-02-28,140,64,76
2020-02-29,133,57,76
2020-03-01,126,59,67
2020-03-02,89,,89
2020-03-03,83,,83
2020-03-04,146,57,89
2020-03-05,133,63,70
2020-03-06,82,,82
2020-03-07,126,57,69
2020-03-08,67,,67
2020-03-09,73,,73
2020-03-10,133,57,76
2020-03-11,123,57,66
2020-03-12,66,,66
2020-03-13,133,59,74
2020-03-14,65,,65
2020-03-15,127,57,70
2020-03-16,129,59,70
2020-03-17,125,59,66
2020-03-18,126,57,69
2020-03-19,66,,66
2020-03-20,130,61,69
2020-03-21,126,57,69
2020-03-22,61,,61
2020-03-23,126,57,69
2020-03-24,70,,70
2020-03-25,117,57,60
2020-03-26,63,,63
2020-03-27,63,,63
2020-03-28,60,,60
2020-03-29,61,,61
2020-03-30,126,59,67
2020-03-31,118,57,61
2020-04-01,128,57,71
