日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,,,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,,,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,57,,57
2019-12-29,57,,57
2019-12-30,,,
2019-12-31,,,
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,57,,57
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,57,,57
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,153,61,92
2020-01-22,206,68,138
2020-01-23,265,82,183
2020-01-24,197,72,125
2020-01-25,245,63,182
2020-01-26,265,68,197
2020-01-27,242,74,168
2020-01-28,220,68,152
2020-01-29,203,72,131
2020-01-30,174,61,113
2020-01-31,155,64,91
2020-02-01,155,66,89
2020-02-02,179,64,115
2020-02-03,155,63,92
2020-02-04,158,66,92
2020-02-05,152,57,95
2020-02-06,181,72,109
2020-02-07,169,63,106
2020-02-08,154,61,93
2020-02-09,155,64,91
2020-02-10,162,63,99
2020-02-11,169,63,106
2020-02-12,149,63,86
2020-02-13,153,61,92
2020-02-14,147,61,86
2020-02-15,135,57,78
2020-02-16,142,63,79
2020-02-17,130,59,71
2020-02-18,153,64,89
2020-02-19,153,64,89
2020-02-20,141,57,84
2020-02-21,141,57,84
2020-02-22,152,57,95
2020-02-23,150,61,89
2020-02-24,82,,82
2020-02-25,150,59,91
2020-02-26,145,63,82
2020-02-27,145,63,82
2020-02-28,138,68,70
2020-02-29,139,59,80
2020-03-01,137,59,78
2020-03-02,135,57,78
2020-03-03,128,57,71
2020-03-04,133,59,74
2020-03-05,70,,70
2020-03-06,124,57,67
2020-03-07,130,57,73
2020-03-08,66,,66
2020-03-09,120,59,61
2020-03-10,137,61,76
2020-03-11,133,59,74
2020-03-12,135,57,78
2020-03-13,65,,65
2020-03-14,122,57,65
2020-03-15,67,,67
2020-03-16,125,59,66
2020-03-17,123,57,66
2020-03-18,130,57,73
2020-03-19,65,,65
2020-03-20,126,57,69
2020-03-21,59,59,
2020-03-22,60,,60
2020-03-23,67,,67
2020-03-24,63,,63
2020-03-25,67,,67
2020-03-26,63,,63
2020-03-27,96,,96
2020-03-28,67,,67
2020-03-29,122,59,63
2020-03-30,61,,61
2020-03-31,115,57,58
2020-04-01,58,,58
