日期,全部,pc,移动
2019-12-01,,,
2019-12-02,,,
2019-12-03,,,
2019-12-04,,,
2019-12-05,,,
2019-12-06,,,
2019-12-07,59,59,
2019-12-08,,,
2019-12-09,,,
2019-12-10,,,
2019-12-11,,,
2019-12-12,,,
2019-12-13,,,
2019-12-14,,,
2019-12-15,,,
2019-12-16,57,57,
2019-12-17,,,
2019-12-18,,,
2019-12-19,,,
2019-12-20,,,
2019-12-21,,,
2019-12-22,,,
2019-12-23,,,
2019-12-24,,,
2019-12-25,,,
2019-12-26,,,
2019-12-27,,,
2019-12-28,,,
2019-12-29,,,
2019-12-30,,,
2019-12-31,57,,57
2020-01-01,,,
2020-01-02,,,
2020-01-03,,,
2020-01-04,,,
2020-01-05,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-11,,,
2020-01-12,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-18,,,
2020-01-19,,,
2020-01-20,,,
2020-01-21,117,59,58
2020-01-22,141,57,84
2020-01-23,169,59,110
2020-01-24,140,57,83
2020-01-25,179,66,113
2020-01-26,185,64,121
2020-01-27,200,61,139
2020-01-28,160,68,92
2020-01-29,191,68,123
2020-01-30,189,64,125
2020-01-31,161,68,93
2020-02-01,148,57,91
2020-02-02,137,63,74
2020-02-03,135,59,76
2020-02-04,133,57,76
2020-02-05,80,,80
2020-02-06,146,59,87
2020-02-07,139,61,78
2020-02-08,139,59,80
2020-02-09,132,59,73
2020-02-10,139,63,76
2020-02-11,129,59,70
2020-02-12,129,59,70
2020-02-13,148,57,91
2020-02-14,146,63,83
2020-02-15,126,59,67
2020-02-16,147,61,86
2020-02-17,74,,74
2020-02-18,79,,79
2020-02-19,65,,65
2020-02-20,128,57,71
2020-02-21,124,57,67
2020-02-22,135,59,76
2020-02-23,139,63,76
2020-02-24,134,61,73
2020-02-25,135,61,74
2020-02-26,127,57,70
2020-02-27,87,,87
2020-02-28,131,57,74
2020-02-29,61,,61
2020-03-01,124,59,65
2020-03-02,122,57,65
2020-03-03,80,,80
2020-03-04,67,,67
2020-03-05,58,,58
2020-03-06,124,57,67
2020-03-07,61,,61
2020-03-08,118,57,61
2020-03-09,71,,71
2020-03-10,122,57,65
2020-03-11,120,57,63
2020-03-12,58,,58
2020-03-13,60,,60
2020-03-14,61,,61
2020-03-15,66,,66
2020-03-16,63,,63
2020-03-17,120,59,61
2020-03-18,,,
2020-03-19,65,,65
2020-03-20,67,,67
2020-03-21,63,,63
2020-03-22,61,,61
2020-03-23,57,57,
2020-03-24,60,,60
2020-03-25,60,,60
2020-03-26,63,,63
2020-03-27,117,57,60
2020-03-28,58,,58
2020-03-29,57,,57
2020-03-30,65,,65
2020-03-31,61,,61
2020-04-01,58,,58
